mainshock_rsn,number_of_aftershocks,aftershock_1_rsn,aftershock_2_rsn,aftershock_3_rsn,aftershock_4_rsn,aftershock_5_rsn,aftershock_6_rsn
95,1,96,,,,,
210,1,217,,,,,
212,1,219,,,,,
214,1,223,,,,,
215,1,224,,,,,
230,6,233,551,236,240,244,248
231,5,234,239,243,245,250,
232,1,235,,,,,
285,1,296,,,,,
286,1,297,,,,,
289,1,300,,,,,
290,1,301,,,,,
291,1,302,,,,,
292,1,303,,,,,
368,2,383,412,,,,
543,2,548,246,,,,
544,3,549,559,562,,,
545,3,550,560,247,,,
546,1,552,,,,,
547,3,558,561,563,,,
589,1,707,,,,,
590,1,708,,,,,
592,1,3685,,,,,
593,1,1693,,,,,
594,1,3686,,,,,
595,1,3687,,,,,
598,1,3689,,,,,
599,1,3690,,,,,
602,1,3692,,,,,
608,1,3697,,,,,
611,1,3698,,,,,
613,1,3700,,,,,
614,1,3701,,,,,
615,1,709,,,,,
616,1,3702,,,,,
620,1,3704,,,,,
622,1,3707,,,,,
625,1,710,,,,,
626,1,711,,,,,
627,2,712,1706,,,,
629,1,1707,,,,,
632,1,3709,,,,,
633,1,3710,,,,,
634,1,3711,,,,,
635,2,713,1710,,,,
637,1,3713,,,,,
638,1,3714,,,,,
639,1,714,,,,,
640,1,3715,,,,,
641,1,3716,,,,,
642,1,3717,,,,,
645,1,3724,,,,,
649,1,3720,,,,,
650,1,3721,,,,,
652,1,3722,,,,,
661,1,3727,,,,,
663,1,715,,,,,
665,3,1665,1670,1721,,,
667,1,1722,,,,,
671,3,1671,3765,1723,,,
672,1,3731,,,,,
683,1,3733,,,,,
690,1,3734,,,,,
691,1,716,,,,,
692,1,3735,,,,,
694,1,3736,,,,,
695,1,3737,,,,,
697,1,3739,,,,,
698,1,3767,,,,,
699,1,1738,,,,,
700,1,717,,,,,
705,1,3743,,,,,
718,1,729,,,,,
942,1,707,,,,,
948,1,3685,,,,,
949,1,1693,,,,,
950,1,3686,,,,,
951,1,3687,,,,,
954,1,3689,,,,,
956,1,3691,,,,,
962,1,3697,,,,,
963,2,1676,1683,,,,
964,1,3698,,,,,
966,1,3700,,,,,
967,1,3701,,,,,
968,1,709,,,,,
970,1,3702,,,,,
974,1,3704,,,,,
