
 PEER Ground Motion Database, Time Series Search Report -- NGA-West2 -- 2021-03-29


 -- Summary of PEER Ground Motion Database Search Criteria --
Magnitude Min:, -1.0e-06
Magnitude Max:, 99999
Rrup Min (km):, -1.0e-06
Rrup Max (km):, 99999
Rjb Min (km):, -1.0e-06
Rjb Max (km):, 99999
Vs30 Min (m/sec):, -1.0e-06
Vs30 Max (m/sec):, 99999
D9-95 Min (sec):, -1.0e-06
D9-95 Max (sec):, 99999
Scale Factor Min:, -1.0e-06
Scale Factor Max:, 99999
Period Array:, 
Weight Array:, 
Record Sequence Number:, 1263,1262,1261,1260,1259,1258,1256,1247,1245,1243,1240,1239,1237,1236,1235,1234,1233,1232,1230,1228,1227,1219,1215,1214,1213,1212,1211,1210,1209,1208,1207,1206,1204,1200,1199,1196,1195,1190,1189,1187,1186,1094,1091,1088,1087,1083,1082,1080,1077,1076,1074,1072,1070,1062,1057,1053,1049,1048,1042,1041,1039,1035,1034,1033,1032,1031,1026,1024,1020,1019,1018,1017,1016,1015,1007,1006,1005,1003,1001,999,998,997,996,995,993,992,991,990,989,988,987,985,984,981,978,976,975,974,971
Earthquake Name:, 
Station Name:, 
User-Defined Maximum Number of Records:, 
Pulse:, 1
Damping Ratio:, 0.05
Scaling Method:, No Scaling
Suite Average:, Arithmetic
Single-Period-Scaling Period (sec):, 
Component:, SRSS
Fault Type:, All Types


 -- Summary of Metadata of Selected Records --
Result ID, Spectral Ordinate, Record Sequence Number, Mean Squared Error, Scale Factor, Tp-Pulse Period (sec), 5-75% Duration (sec), 5-95% Duration (sec), Arias Intensity (m/sec), Earthquake Name, Year, Station Name, Magnitude, Mechanism, Rjb (km), Rrup (km), Vs30 (m/sec), Lowest Useable Frequency (Hz), Initial-search Scale Factor, Horizontal-1 Acc. Filename, Horizontal-2 Acc. Filename, Vertical Acc. Filename
1, SRSS, 971, -, 1.0, -, 6.8, 11.7, 0.2, "Northridge-01", 1994, "Elizabeth Lake", 6.69, Reverse, 36.2, 36.55, 326.19, 0.16, 1.0, RSN971_NORTHR_ELL090.AT2, RSN971_NORTHR_ELL180.AT2 , RSN971_NORTHR_ELL-UP.AT2  
2, SRSS, 974, -, 1.0, -, 6.2, 11.5, 1.2, "Northridge-01", 1994, "Glendale - Las Palmas", 6.69, Reverse, 21.64, 22.21, 371.07, 0.375, 1.0, RSN974_NORTHR_GLP177.AT2, RSN974_NORTHR_GLP267.AT2 , RSN974_NORTHR_GLP-UP.AT2  
3, SRSS, 975, -, 1.0, -, 10.8, 16.6, 0.1, "Northridge-01", 1994, "Glendora - N Oakbank", 6.69, Reverse, 53.71, 53.94, 362.31, 0.4125, 1.0, RSN975_NORTHR_OAK080.AT2, RSN975_NORTHR_OAK170.AT2 , RSN975_NORTHR_OAK-UP.AT2  
4, SRSS, 976, -, 1.0, -, 10.5, 20.7, 0.1, "Northridge-01", 1994, "Hacienda Heights - Colima", 6.69, Reverse, 56.55, 57.02, 337.0, 0.5, 1.0, RSN976_NORTHR_COM140.AT2, RSN976_NORTHR_COM230.AT2 , RSN976_NORTHR_COM-UP.AT2  
5, SRSS, 978, -, 1.0, -, 6.7, 15.5, 0.9, "Northridge-01", 1994, "Hollywood - Willoughby Ave", 6.69, Reverse, 17.82, 23.07, 347.7, 0.175, 1.0, RSN978_NORTHR_WIL090.AT2, RSN978_NORTHR_WIL180.AT2 , RSN978_NORTHR_WIL-UP.AT2  
6, SRSS, 981, -, 1.0, -, 11.8, 21.6, 0.2, "Northridge-01", 1994, "Inglewood - Union Oil", 6.69, Reverse, 37.18, 42.2, 316.02, 0.16, 1.0, RSN981_NORTHR_ING000.AT2, RSN981_NORTHR_ING090.AT2 , RSN981_NORTHR_ING-UP.AT2  
7, SRSS, 984, -, 1.0, -, 7.6, 19.4, 0.4, "Northridge-01", 1994, "LA - 116th St School", 6.69, Reverse, 36.39, 41.17, 301.0, 0.16, 1.0, RSN984_NORTHR_116090.AT2, RSN984_NORTHR_116360.AT2 , RSN984_NORTHR_116-UP.AT2  
8, SRSS, 985, -, 1.0, -, 8.0, 17.3, 0.7, "Northridge-01", 1994, "LA - Baldwin Hills", 6.69, Reverse, 23.5, 29.88, 297.07, 0.16, 1.0, RSN985_NORTHR_BLD090.AT2, RSN985_NORTHR_BLD360.AT2 , RSN985_NORTHR_BLD-UP.AT2  
9, SRSS, 987, -, 1.0, -, 5.8, 12.2, 1.0, "Northridge-01", 1994, "LA - Centinela St", 6.69, Reverse, 20.36, 28.3, 321.91, 0.1625, 1.0, RSN987_NORTHR_CEN155.AT2, RSN987_NORTHR_CEN245.AT2 , RSN987_NORTHR_CEN-UP.AT2  
10, SRSS, 988, -, 1.0, -, 7.2, 13.6, 1.2, "Northridge-01", 1994, "LA - Century City CC North", 6.69, Reverse, 15.53, 23.41, 277.98, 0.14, 1.0, RSN988_NORTHR_CCN090.AT2, RSN988_NORTHR_CCN360.AT2 , RSN988_NORTHR_CCN-UP.AT2  
11, SRSS, 989, -, 1.0, -, 5.6, 9.0, 0.7, "Northridge-01", 1994, "LA - Chalon Rd", 6.69, Reverse, 9.87, 20.45, 740.05, 0.2625, 1.0, RSN989_NORTHR_CHL070.AT2, RSN989_NORTHR_CHL160.AT2 , RSN989_NORTHR_CHL-UP.AT2  
12, SRSS, 990, -, 1.0, -, 6.1, 11.9, 1.1, "Northridge-01", 1994, "LA - City Terrace", 6.69, Reverse, 35.03, 36.62, 365.22, 0.2, 1.0, RSN990_NORTHR_LAC090.AT2, RSN990_NORTHR_LAC180.AT2 , RSN990_NORTHR_LAC-UP.AT2  
13, SRSS, 991, -, 1.0, -, 5.8, 10.8, 0.5, "Northridge-01", 1994, "LA - Cypress Ave", 6.69, Reverse, 28.98, 30.7, 366.71, 0.15, 1.0, RSN991_NORTHR_CYP053.AT2, RSN991_NORTHR_CYP143.AT2 , RSN991_NORTHR_CYP-UP.AT2  
