 
PGA:,  0.15 g
PGV:,  18.52 cm/s
PGD:,  8.45 cm
Arias Intensity:,  84.92 cm/s
Significant duration:,  99.59 s
 
 
Damping ratio for spectra:  0.05

 
period [s]	SD. [cm]	PSV [cm/s]	PSA [g]
0.0010	, 0.000	, 0.024	, 0.151
0.1010	, 0.070	, 4.353	, 0.276
0.2010	, 0.381	, 11.920	, 0.380
0.3010	, 0.984	, 20.548	, 0.437
0.4010	, 1.693	, 26.523	, 0.424
0.5010	, 2.100	, 26.333	, 0.337
0.6010	, 2.696	, 28.187	, 0.300
0.7010	, 4.764	, 42.703	, 0.390
0.8010	, 5.638	, 44.222	, 0.354
0.9010	, 6.612	, 46.110	, 0.328
1.0010	, 7.136	, 44.790	, 0.287
1.1010	, 6.319	, 36.060	, 0.210
1.2010	, 5.962	, 31.192	, 0.166
1.3010	, 5.026	, 24.274	, 0.120
1.4010	, 6.545	, 29.354	, 0.134
1.5010	, 7.568	, 31.680	, 0.135
1.6010	, 8.133	, 31.919	, 0.128
1.7010	, 8.651	, 31.956	, 0.120
1.8010	, 7.817	, 27.273	, 0.097
1.9010	, 11.461	, 37.881	, 0.128
2.0010	, 12.690	, 39.848	, 0.128
2.1010	, 14.133	, 42.267	, 0.129
2.2010	, 13.717	, 39.158	, 0.114
2.3010	, 13.237	, 36.146	, 0.101
2.4010	, 13.079	, 34.225	, 0.091
2.5010	, 15.555	, 39.077	, 0.100
2.6010	, 18.759	, 45.317	, 0.112
2.7010	, 22.695	, 52.795	, 0.125
2.8010	, 25.956	, 58.223	, 0.133
2.9010	, 27.759	, 60.123	, 0.133
3.0010	, 28.680	, 60.048	, 0.128
3.1010	, 29.816	, 60.413	, 0.125
3.2010	, 31.590	, 62.008	, 0.124
3.3010	, 33.467	, 63.702	, 0.124
3.4010	, 34.863	, 64.407	, 0.121
3.5010	, 35.212	, 63.195	, 0.116
3.6010	, 34.894	, 60.884	, 0.108
3.7010	, 33.831	, 57.434	, 0.099
3.8010	, 33.445	, 55.286	, 0.093
3.9010	, 33.245	, 53.546	, 0.088
4.0010	, 33.449	, 52.529	, 0.084
4.1010	, 33.286	, 50.998	, 0.080
4.2010	, 32.920	, 49.236	, 0.075
4.3010	, 32.198	, 47.037	, 0.070
4.4010	, 31.685	, 45.236	, 0.066
4.5010	, 31.732	, 44.296	, 0.063
4.6010	, 31.208	, 42.618	, 0.059
4.7010	, 30.232	, 40.407	, 0.055
4.8010	, 28.612	, 37.446	, 0.050
4.9010	, 26.450	, 33.909	, 0.044
5.0010	, 26.201	, 32.919	, 0.042
5.1010	, 25.718	, 31.679	, 0.040
5.2010	, 24.496	, 29.592	, 0.036
5.3010	, 23.301	, 27.618	, 0.033
5.4010	, 22.177	, 25.799	, 0.031
5.5010	, 22.644	, 25.864	, 0.030
5.6010	, 23.243	, 26.074	, 0.030
5.7010	, 23.661	, 26.077	, 0.029
5.8010	, 23.992	, 25.986	, 0.029
5.9010	, 24.132	, 25.695	, 0.028
6.0010	, 24.106	, 25.240	, 0.027
6.1010	, 23.692	, 24.399	, 0.026
6.2010	, 22.872	, 23.175	, 0.024
6.3010	, 22.404	, 22.340	, 0.023
6.4010	, 22.216	, 21.807	, 0.022
6.5010	, 21.867	, 21.135	, 0.021
6.6010	, 22.337	, 21.262	, 0.021
6.7010	, 22.718	, 21.302	, 0.020
6.8010	, 23.114	, 21.354	, 0.020
6.9010	, 23.333	, 21.244	, 0.020
7.0010	, 23.380	, 20.983	, 0.019
7.1010	, 23.273	, 20.592	, 0.019
7.2010	, 24.214	, 21.128	, 0.019
7.3010	, 25.139	, 21.634	, 0.019
7.4010	, 25.883	, 21.973	, 0.019
7.5010	, 26.143	, 21.899	, 0.019
7.6010	, 25.719	, 21.260	, 0.018
7.7010	, 24.763	, 20.204	, 0.017
7.8010	, 23.705	, 19.093	, 0.016
7.9010	, 22.925	, 18.231	, 0.015
8.0010	, 22.467	, 17.643	, 0.014
8.1010	, 22.024	, 17.082	, 0.014
8.2010	, 22.120	, 16.947	, 0.013
8.3010	, 22.215	, 16.815	, 0.013
8.4010	, 23.541	, 17.607	, 0.013
8.5010	, 24.461	, 18.079	, 0.014
8.6010	, 24.804	, 18.120	, 0.013
8.7010	, 24.742	, 17.867	, 0.013
8.8010	, 24.492	, 17.485	, 0.013
8.9010	, 24.214	, 17.093	, 0.012
9.0010	, 23.960	, 16.725	, 0.012
9.1010	, 23.690	, 16.355	, 0.012
9.2010	, 23.343	, 15.941	, 0.011
9.3010	, 22.895	, 15.467	, 0.011
9.4010	, 22.379	, 14.957	, 0.010
9.5010	, 21.870	, 14.463	, 0.010
9.6010	, 21.445	, 14.034	, 0.009
9.7010	, 21.133	, 13.687	, 0.009
9.8010	, 20.899	, 13.398	, 0.009
9.9010	, 20.648	, 13.103	, 0.008
 
acceleration, velocity, displacement and normalized Arias intensity time histories:
 
