 
PGA:,  0.09 g
PGV:,  4.02 cm/s
PGD:,  0.68 cm
Arias Intensity:,   7.75 cm/s
Significant duration:,  43.70 s
 
 
Damping ratio for spectra:  0.05

 
period [s]	SD. [cm]	PSV [cm/s]	PSA [g]
0.0010	, 0.000	, 0.014	, 0.090
0.1010	, 0.026	, 1.629	, 0.103
0.2010	, 0.251	, 7.843	, 0.250
0.3010	, 0.372	, 7.768	, 0.165
0.4010	, 0.511	, 8.008	, 0.128
0.5010	, 1.309	, 16.419	, 0.210
0.6010	, 1.473	, 15.399	, 0.164
0.7010	, 0.989	, 8.861	, 0.081
0.8010	, 0.928	, 7.283	, 0.058
0.9010	, 1.080	, 7.532	, 0.054
1.0010	, 1.131	, 7.097	, 0.045
1.1010	, 1.280	, 7.304	, 0.042
1.2010	, 1.432	, 7.494	, 0.040
1.3010	, 1.835	, 8.864	, 0.044
1.4010	, 1.815	, 8.138	, 0.037
1.5010	, 1.789	, 7.487	, 0.032
1.6010	, 2.215	, 8.692	, 0.035
1.7010	, 2.442	, 9.019	, 0.034
1.8010	, 2.190	, 7.641	, 0.027
1.9010	, 1.818	, 6.009	, 0.020
2.0010	, 1.476	, 4.634	, 0.015
2.1010	, 1.407	, 4.208	, 0.013
2.2010	, 1.446	, 4.129	, 0.012
2.3010	, 1.660	, 4.533	, 0.013
2.4010	, 1.863	, 4.875	, 0.013
2.5010	, 1.919	, 4.820	, 0.012
2.6010	, 1.816	, 4.386	, 0.011
2.7010	, 1.615	, 3.757	, 0.009
2.8010	, 1.610	, 3.610	, 0.008
2.9010	, 1.531	, 3.315	, 0.007
3.0010	, 1.398	, 2.926	, 0.006
3.1010	, 1.235	, 2.503	, 0.005
3.2010	, 1.067	, 2.093	, 0.004
3.3010	, 1.050	, 1.999	, 0.004
3.4010	, 1.017	, 1.879	, 0.004
3.5010	, 0.967	, 1.736	, 0.003
3.6010	, 0.908	, 1.584	, 0.003
3.7010	, 0.844	, 1.432	, 0.002
3.8010	, 0.818	, 1.352	, 0.002
3.9010	, 0.811	, 1.307	, 0.002
4.0010	, 0.816	, 1.281	, 0.002
4.1010	, 0.841	, 1.289	, 0.002
4.2010	, 0.853	, 1.276	, 0.002
4.3010	, 0.855	, 1.248	, 0.002
4.4010	, 0.847	, 1.209	, 0.002
4.5010	, 0.832	, 1.161	, 0.002
4.6010	, 0.812	, 1.110	, 0.002
4.7010	, 0.790	, 1.056	, 0.001
4.8010	, 0.766	, 1.003	, 0.001
4.9010	, 0.748	, 0.960	, 0.001
5.0010	, 0.743	, 0.933	, 0.001
5.1010	, 0.737	, 0.908	, 0.001
5.2010	, 0.731	, 0.883	, 0.001
5.3010	, 0.730	, 0.865	, 0.001
5.4010	, 0.727	, 0.846	, 0.001
5.5010	, 0.721	, 0.824	, 0.001
5.6010	, 0.715	, 0.802	, 0.001
5.7010	, 0.706	, 0.778	, 0.001
5.8010	, 0.700	, 0.758	, 0.001
5.9010	, 0.695	, 0.741	, 0.001
6.0010	, 0.691	, 0.723	, 0.001
6.1010	, 0.686	, 0.707	, 0.001
6.2010	, 0.682	, 0.691	, 0.001
6.3010	, 0.678	, 0.676	, 0.001
6.4010	, 0.674	, 0.661	, 0.001
6.5010	, 0.670	, 0.647	, 0.001
6.6010	, 0.666	, 0.634	, 0.001
6.7010	, 0.662	, 0.621	, 0.001
