 
PGA:,  0.37 g
PGV:,  29.06 cm/s
PGD:,  9.81 cm
Arias Intensity:,  200.04 cm/s
Significant duration:,  51.73 s
Bracketed  duration:,  pectra:  0.05

 
period [s]	SD. [cm]	PSV [cm/s]	PSA [g]
0.0010	, 0.000	, 0.058	, 0.372
0.1010	, 0.152	, 9.471	, 0.601
0.2010	, 1.057	, 33.039	, 1.053
0.3010	, 2.053	, 42.865	, 0.912
0.4010	, 2.878	, 45.102	, 0.720
0.5010	, 4.492	, 56.336	, 0.720
0.6010	, 5.283	, 55.231	, 0.589
0.7010	, 7.135	, 63.949	, 0.584
0.8010	, 6.394	, 50.157	, 0.401
0.9010	, 8.454	, 58.953	, 0.419
1.0010	, 8.048	, 50.517	, 0.323
1.1010	, 7.023	, 40.079	, 0.233
1.2010	, 9.415	, 49.255	, 0.263
1.3010	, 8.372	, 40.430	, 0.199
1.4010	, 9.465	, 42.447	, 0.194
1.5010	, 11.505	, 48.162	, 0.206
1.6010	, 13.066	, 51.278	, 0.205
1.7010	, 13.533	, 49.988	, 0.188
1.8010	, 14.538	, 50.717	, 0.180
1.9010	, 15.848	, 52.382	, 0.176
2.0010	, 16.598	, 52.119	, 0.167
2.1010	, 17.763	, 53.122	, 0.162
2.2010	, 19.495	, 55.653	, 0.162
2.3010	, 20.728	, 56.600	, 0.158
2.4010	, 21.125	, 55.281	, 0.147
2.5010	, 20.598	, 51.748	, 0.133
2.6010	, 21.079	, 50.921	, 0.125
2.7010	, 21.080	, 49.037	, 0.116
2.8010	, 20.225	, 45.369	, 0.104
2.9010	, 18.704	, 40.511	, 0.089
3.0010	, 17.027	, 35.648	, 0.076
3.1010	, 15.606	, 31.620	, 0.065
3.2010	, 14.016	, 27.511	, 0.055
3.3010	, 12.418	, 23.636	, 0.046
3.4010	, 12.103	, 22.359	, 0.042
3.5010	, 12.223	, 21.936	, 0.040
3.6010	, 12.434	, 21.696	, 0.039
3.7010	, 12.368	, 20.996	, 0.036
3.8010	, 12.503	, 20.668	, 0.035
3.9010	, 12.858	, 20.710	, 0.034
4.0010	, 12.803	, 20.106	, 0.032
4.1010	, 12.380	, 18.968	, 0.030
4.2010	, 12.220	, 18.276	, 0.028
4.3010	, 12.295	, 17.961	, 0.027
4.4010	, 12.173	, 17.379	, 0.025
4.5010	, 11.946	, 16.676	, 0.024
4.6010	, 11.939	, 16.304	, 0.023
4.7010	, 12.036	, 16.088	, 0.022
4.8010	, 11.925	, 15.606	, 0.021
4.9010	, 11.635	, 14.917	, 0.019
5.0010	, 11.472	, 14.413	, 0.018
5.1010	, 11.554	, 14.232	, 0.018
5.2010	, 11.690	, 14.122	, 0.017
5.3010	, 11.645	, 13.802	, 0.017
5.4010	, 11.341	, 13.193	, 0.016
5.5010	, 10.967	, 12.526	, 0.015
5.6010	, 10.741	, 12.049	, 0.014
5.7010	, 10.707	, 11.801	, 0.013
5.8010	, 10.716	, 11.606	, 0.013
5.9010	, 10.637	, 11.326	, 0.012
6.0010	, 10.486	, 10.979	, 0.012
6.1010	, 10.395	, 10.706	, 0.011
6.2010	, 10.241	, 10.377	, 0.011
6.3010	, 10.369	, 10.340	, 0.011
6.4010	, 10.551	, 10.357	, 0.010
6.5010	, 10.764	, 10.403	, 0.010
6.6010	, 10.955	, 10.427	, 0.010
6.7010	, 11.073	, 10.383	, 0.010
6.8010	, 11.100	, 10.255	, 0.010
6.9010	, 11.054	, 10.064	, 0.009
7.0010	, 10.972	, 9.847	, 0.009
7.1010	, 10.895	, 9.640	, 0.009
7.2010	, 10.841	, 9.459	, 0.008
7.3010	, 10.890	, 9.372	, 0.008
7.4010	, 10.984	, 9.325	, 0.008
7.5010	, 11.057	, 9.262	, 0.008
7.6010	, 11.091	, 9.168	, 0.008
7.7010	, 11.076	, 9.037	, 0.008
7.8010	, 11.016	, 8.873	, 0.007
