 
PGA:,  0.57 g
PGV:,  76.13 cm/s
PGD:,  41.90 cm
Arias Intensity:,  326.60 cm/s
Significant duration:,   7.57 s
 
 
Damping ratio for spectra:  0.05

 
period [s]	SD. [cm]	PSV [cm/s]	PSA [g]
0.0010	, 0.000	, 0.089	, 0.571
0.1010	, 0.193	, 11.992	, 0.760
0.2010	, 1.154	, 36.075	, 1.150
0.3010	, 3.165	, 66.058	, 1.406
0.4010	, 5.317	, 83.312	, 1.331
0.5010	, 4.226	, 53.006	, 0.678
0.6010	, 6.257	, 65.419	, 0.697
0.7010	, 10.381	, 93.046	, 0.850
0.8010	, 13.968	, 109.571	, 0.876
0.9010	, 12.633	, 88.095	, 0.626
1.0010	, 13.939	, 87.496	, 0.560
1.1010	, 15.174	, 86.592	, 0.504
1.2010	, 16.521	, 86.431	, 0.461
1.3010	, 17.796	, 85.947	, 0.423
1.4010	, 20.249	, 90.811	, 0.415
1.5010	, 22.107	, 92.541	, 0.395
1.6010	, 25.439	, 99.836	, 0.399
1.7010	, 29.346	, 108.399	, 0.408
1.8010	, 33.420	, 116.592	, 0.415
1.9010	, 37.329	, 123.381	, 0.416
2.0010	, 41.645	, 130.766	, 0.419
2.1010	, 46.078	, 137.800	, 0.420
2.2010	, 50.181	, 143.251	, 0.417
2.3010	, 56.920	, 155.428	, 0.433
2.4010	, 67.896	, 177.678	, 0.474
2.5010	, 77.052	, 193.575	, 0.496
2.6010	, 83.815	, 202.471	, 0.499
2.7010	, 87.810	, 204.268	, 0.484
2.8010	, 89.013	, 199.673	, 0.457
2.9010	, 89.515	, 193.877	, 0.428
3.0010	, 89.651	, 187.702	, 0.401
3.1010	, 87.110	, 176.501	, 0.365
3.2010	, 85.460	, 167.748	, 0.336
3.3010	, 83.899	, 159.696	, 0.310
3.4010	, 81.071	, 149.775	, 0.282
3.5010	, 78.920	, 141.637	, 0.259
3.6010	, 78.079	, 136.236	, 0.242
3.7010	, 76.301	, 129.537	, 0.224
3.8010	, 76.152	, 125.881	, 0.212
3.9010	, 75.585	, 121.742	, 0.200
4.0010	, 74.659	, 117.245	, 0.188
4.1010	, 73.475	, 112.571	, 0.176
4.2010	, 72.750	, 108.807	, 0.166
4.3010	, 72.128	, 105.370	, 0.157
4.4010	, 71.224	, 101.685	, 0.148
4.5010	, 70.034	, 97.765	, 0.139
4.6010	, 68.583	, 93.658	, 0.130
4.7010	, 66.914	, 89.435	, 0.122
4.8010	, 65.075	, 85.166	, 0.114
4.9010	, 63.114	, 80.914	, 0.106
5.0010	, 62.050	, 77.959	, 0.100
5.1010	, 62.062	, 76.445	, 0.096
5.2010	, 62.030	, 74.937	, 0.092
5.3010	, 61.961	, 73.441	, 0.089
5.4010	, 61.858	, 71.961	, 0.085
5.5010	, 61.726	, 70.503	, 0.082
5.6010	, 61.570	, 69.070	, 0.079
5.7010	, 61.393	, 67.662	, 0.076
5.8010	, 61.193	, 66.279	, 0.073
5.9010	, 60.969	, 64.917	, 0.070
6.0010	, 60.720	, 63.575	, 0.068
6.1010	, 60.448	, 62.254	, 0.065
6.2010	, 60.156	, 60.953	, 0.063
6.3010	, 59.843	, 59.674	, 0.061
6.4010	, 59.513	, 58.418	, 0.058
6.5010	, 59.167	, 57.185	, 0.056
6.6010	, 58.809	, 55.977	, 0.054
6.7010	, 58.437	, 54.794	, 0.052
6.8010	, 58.056	, 53.636	, 0.051
6.9010	, 57.666	, 52.504	, 0.049
7.0010	, 57.268	, 51.397	, 0.047
7.1010	, 56.866	, 50.317	, 0.045
7.2010	, 56.459	, 49.263	, 0.044
7.3010	, 56.048	, 48.235	, 0.042
7.4010	, 55.636	, 47.233	, 0.041
7.5010	, 55.222	, 46.257	, 0.039
7.6010	, 54.809	, 45.307	, 0.038
7.7010	, 54.398	, 44.383	, 0.037
7.8010	, 53.988	, 43.484	, 0.036
7.9010	, 53.582	, 42.610	, 0.035
8.0010	, 53.178	, 41.761	, 0.033
8.1010	, 52.776	, 40.934	, 0.032
8.2010	, 52.378	, 40.129	, 0.031
8.3010	, 51.981	, 39.345	, 0.030
8.4010	, 51.588	, 38.583	, 0.029
8.5010	, 51.197	, 37.840	, 0.029
8.6010	, 50.809	, 37.117	, 0.028
8.7010	, 50.425	, 36.413	, 0.027
8.8010	, 50.044	, 35.728	, 0.026
8.9010	, 49.668	, 35.060	, 0.025
9.0010	, 49.295	, 34.411	, 0.024
9.1010	, 48.926	, 33.778	, 0.024
9.2010	, 48.561	, 33.161	, 0.023
9.3010	, 48.201	, 32.562	, 0.022
9.4010	, 47.845	, 31.977	, 0.022
9.5010	, 47.493	, 31.408	, 0.021
9.6010	, 47.146	, 30.854	, 0.021
9.7010	, 46.803	, 30.314	, 0.020
9.8010	, 46.465	, 29.788	, 0.019
9.9010	, 46.132	, 29.275	, 0.019
 
acceleration, velocity, displacement and normalized Arias intensity time histories:
 
time [s]	accel. [g]	vel. [cm/s]	displ. [cm]	AI
0.000	0.0009005	0.0000000	0.0000000	0.0000000
0.005	0.0009054	0.0044290	0.0000111	0.0000000
0.010	0.0009108	0.0088834	0.0000444	0.0000000
0.015	0.0009163	0.0133642	0.0001000	0.0000001
0.020	0.0009230	0.0178750	0.0001781	0.0000001
0.025	0.0009309	0.0224217	0.0002788	0.0000001
0.030	0.0009400	0.0270101	0.0004024	0.0000001
0.035	0.0009483	0.0316413	0.0005490	0.0000001
0.040	0.0009551	0.0363095	0.0007189	0.0000002
0.045	0.0009596	0.0410055	0.0009122	0.0000002
0.050	0.0009633	0.0457214	0.0011290	0.0000002
0.055	0.0009690	0.0504602	0.0013695	0.0000002
0.060	0.0009794	0.0552385	0.0016337	0.0000002
0.065	0.0009952	0.0600811	0.0019220	0.0000003
0.070	0.0010167	0.0650153	0.0022347	0.0000003
0.075	0.0010409	0.0700616	0.0025724	0.0000003
0.080	0.0010638	0.0752234	0.0029356	0.0000003
0.085	0.0010820	0.0804859	0.0033249	0.0000004
0.090	0.0010912	0.0858157	0.0037407	0.0000004
0.095	0.0010910	0.0911675	0.0041831	0.0000004
0.100	0.0010874	0.0965101	0.0046523	0.0000005
0.105	0.0010903	0.1018509	0.0051482	0.0000005
0.110	0.0011043	0.1072331	0.0056709	0.0000005
0.115	0.0011320	0.1127176	0.0062208	0.0000005
0.120	0.0011667	0.1183552	0.0067985	0.0000006
0.125	0.0011868	0.1241274	0.0074047	0.0000006
0.130	0.0011767	0.1299239	0.0080398	0.0000006
0.135	0.0011409	0.1356078	0.0087037	0.0000007
0.140	0.0011047	0.1411150	0.0093955	0.0000007
0.145	0.0010660	0.1464386	0.0101144	0.0000007
0.150	0.0010308	0.1515809	0.0108594	0.0000008
0.155	0.0010312	0.1566379	0.0116299	0.0000008
0.160	0.0010944	0.1618510	0.0124262	0.0000008
0.165	0.0011991	0.1674758	0.0132495	0.0000008
0.170	0.0013159	0.1736438	0.0141023	0.0000009
0.175	0.0014324	0.1803838	0.0149874	0.0000009
0.180	0.0015086	0.1875965	0.0159073	0.0000010
0.185	0.0015279	0.1950435	0.0168639	0.0000010
0.190	0.0015057	0.2024833	0.0178577	0.0000011
0.195	0.0014643	0.2097671	0.0188883	0.0000011
0.200	0.0014296	0.2168644	0.0199549	0.0000012
0.205	0.0014231	0.2238607	0.0210567	0.0000012
0.210	0.0014807	0.2309821	0.0221938	0.0000013
