 
PGA:,  0.99 g
PGV:,  77.86 cm/s
PGD:,  30.86 cm
Arias Intensity:,  1669.12 cm/s
Significant duration:,  12.64 s
Bracketed  duration:,  30.18 s
 
 
Damping ratio for spectra:  0.05

 
period [s]	SD. [cm]	PSV [cm/s]	PSA [g]
0.0010	, 0.000	, 0.155	, 0.990
0.1010	, 0.501	, 31.140	, 1.975
0.2010	, 2.301	, 71.929	, 2.292
0.3010	, 5.582	, 116.515	, 2.479
0.4010	, 11.742	, 183.982	, 2.939
0.5010	, 11.135	, 139.653	, 1.785
0.6010	, 19.741	, 206.380	, 2.199
0.7010	, 24.094	, 215.960	, 1.973
0.8010	, 21.626	, 169.639	, 1.356
0.9010	, 14.604	, 101.843	, 0.724
1.0010	, 12.496	, 78.435	, 0.502
1.1010	, 11.732	, 66.951	, 0.389
1.2010	, 15.245	, 79.755	, 0.425
1.3010	, 15.690	, 75.775	, 0.373
1.4010	, 16.508	, 74.033	, 0.338
1.5010	, 22.354	, 93.575	, 0.399
1.6010	, 25.231	, 99.019	, 0.396
1.7010	, 23.015	, 85.014	, 0.320
1.8010	, 23.865	, 83.257	, 0.296
1.9010	, 22.485	, 74.318	, 0.250
2.0010	, 30.080	, 94.451	, 0.302
2.1010	, 39.093	, 116.911	, 0.356
2.2010	, 40.691	, 116.159	, 0.338
2.3010	, 39.495	, 107.847	, 0.300
2.4010	, 37.884	, 99.140	, 0.264
2.5010	, 33.576	, 84.351	, 0.216
2.6010	, 27.851	, 67.279	, 0.166
2.7010	, 22.473	, 52.277	, 0.124
2.8010	, 22.921	, 51.416	, 0.118
2.9010	, 23.812	, 51.574	, 0.114
3.0010	, 23.989	, 50.226	, 0.107
3.1010	, 23.587	, 47.791	, 0.099
3.2010	, 24.878	, 48.833	, 0.098
3.3010	, 27.829	, 52.971	, 0.103
3.4010	, 30.969	, 57.214	, 0.108
3.5010	, 33.499	, 60.121	, 0.110
3.6010	, 34.859	, 60.823	, 0.108
3.7010	, 36.713	, 62.327	, 0.108
3.8010	, 37.978	, 62.778	, 0.106
3.9010	, 38.555	, 62.100	, 0.102
4.0010	, 39.243	, 61.627	, 0.099
4.1010	, 40.046	, 61.355	, 0.096
4.2010	, 40.383	, 60.399	, 0.092
4.3010	, 40.300	, 58.873	, 0.088
4.4010	, 40.188	, 57.376	, 0.084
4.5010	, 43.486	, 60.704	, 0.086
4.6010	, 45.787	, 62.528	, 0.087
4.7010	, 47.262	, 63.169	, 0.086
4.8010	, 48.519	, 63.498	, 0.085
4.9010	, 50.320	, 64.512	, 0.084
5.0010	, 51.831	, 65.120	, 0.083
5.1010	, 52.951	, 65.222	, 0.082
5.2010	, 53.961	, 65.188	, 0.080
5.3010	, 54.596	, 64.712	, 0.078
5.4010	, 54.860	, 63.820	, 0.076
5.5010	, 54.793	, 62.584	, 0.073
5.6010	, 54.454	, 61.086	, 0.070
5.7010	, 53.959	, 59.469	, 0.067
5.8010	, 54.777	, 59.330	, 0.066
5.9010	, 55.394	, 58.981	, 0.064
6.0010	, 55.906	, 58.535	, 0.062
6.1010	, 57.105	, 58.810	, 0.062
6.2010	, 58.140	, 58.910	, 0.061
6.3010	, 58.867	, 58.700	, 0.060
6.4010	, 59.291	, 58.199	, 0.058
6.5010	, 59.398	, 57.408	, 0.057
6.6010	, 59.412	, 56.551	, 0.055
6.7010	, 60.162	, 56.411	, 0.054
6.8010	, 60.799	, 56.170	, 0.053
6.9010	, 61.975	, 56.427	, 0.052
7.0010	, 62.806	, 56.366	, 0.052
7.1010	, 63.262	, 55.976	, 0.050
7.2010	, 63.398	, 55.318	, 0.049
7.3010	, 63.268	, 54.448	, 0.048
7.4010	, 64.008	, 54.341	, 0.047
7.5010	, 64.412	, 53.954	, 0.046
7.6010	, 65.570	, 54.202	, 0.046
7.7010	, 66.792	, 54.495	, 0.045
7.8010	, 67.704	, 54.531	, 0.045
7.9010	, 68.295	, 54.311	, 0.044
8.0010	, 68.562	, 53.842	, 0.043
8.1010	, 68.535	, 53.156	, 0.042
8.2010	, 68.235	, 52.278	, 0.041
8.3010	, 67.669	, 51.220	, 0.040
8.4010	, 66.871	, 50.013	, 0.038
8.5010	, 65.871	, 48.686	, 0.037
8.6010	, 65.061	, 47.528	, 0.035
8.7010	, 64.261	, 46.404	, 0.034
8.8010	, 63.300	, 45.191	, 0.033
8.9010	, 62.178	, 43.891	, 0.032
9.0010	, 60.995	, 42.578	, 0.030
9.1010	, 60.311	, 41.637	, 0.029
9.2010	, 59.572	, 40.680	, 0.028
9.3010	, 58.795	, 39.719	, 0.027
9.4010	, 58.018	, 38.776	, 0.026
9.5010	, 57.616	, 38.103	, 0.026
9.6010	, 57.170	, 37.413	, 0.025
9.7010	, 56.662	, 36.699	, 0.024
9.8010	, 56.101	, 35.965	, 0.024
9.9010	, 55.492	, 35.215	, 0.023
 
acceleration, velocity, displacement and normalized Arias intensity time histories:
 
time [s]	accel. [g]	vel. [cm/s]	displ. [cm]	AI
0.000	0.0041621	0.0000000	0.0000000	0.0000000
0.020	0.0011790	0.0523955	0.0005240	0.0000002
0.040	0.0060918	0.1237215	0.0022851	0.0000005
0.060	0.0056915	0.2393158	0.0059155	0.0000012
0.080	0.0014888	0.3097551	0.0114062	0.0000015
0.100	-0.0043519	0.2816684	0.0173204	0.0000017
0.120	-0.0062879	0.1772917	0.0219100	0.0000022
0.140	0.0001615	0.1171917	0.0248549	0.0000026
0.160	-0.0018345	0.1007802	0.0270346	0.0000026
0.180	0.0002180	0.0849225	0.0288916	0.0000027
0.200	-0.0066177	0.0221412	0.0299623	0.0000031
0.220	-0.0005044	-0.0477268	0.0297064	0.0000035
0.240	0.0059130	0.0053310	0.0292824	0.0000038
0.260	-0.0038539	0.0255301	0.0295911	0.0000042
0.280	-0.0149701	-0.1591339	0.0282550	0.0000065
0.300	-0.0072683	-0.3772929	0.0228908	0.0000090
0.320	0.0054184	-0.3954402	0.0151634	0.0000098
0.340	0.0035947	-0.3070216	0.0081388	0.0000102
0.360	-0.0013471	-0.2849723	0.0022189	0.0000103
0.380	-0.0201475	-0.4958335	-0.0055892	0.0000141
