 
PGA:,  0.86 g
PGV:,  92.72 cm/s
PGD:,  36.56 cm
Arias Intensity:,  695.14 cm/s
Significant duration:,  22.02 s
Bracketed  duration:,  33.72 s
 
 
Damping ratio for spectra:  0.05

 
period [s]	SD. [cm]	PSV [cm/s]	PSA [g]
0.0010	, 0.000	, 0.134	, 0.860
0.1010	, 0.274	, 17.068	, 1.082
0.2010	, 1.645	, 51.431	, 1.639
0.3010	, 3.140	, 65.539	, 1.395
0.4010	, 7.473	, 117.087	, 1.870
0.5010	, 11.218	, 140.688	, 1.799
0.6010	, 15.637	, 163.477	, 1.742
0.7010	, 19.450	, 174.334	, 1.593
0.8010	, 36.435	, 285.802	, 2.285
0.9010	, 45.666	, 318.453	, 2.264
1.0010	, 55.617	, 349.101	, 2.234
1.1010	, 42.541	, 242.772	, 1.412
1.2010	, 43.760	, 228.934	, 1.221
1.3010	, 48.096	, 232.280	, 1.144
1.4010	, 44.049	, 197.552	, 0.903
1.5010	, 38.137	, 159.643	, 0.681
1.6010	, 39.587	, 155.362	, 0.622
1.7010	, 43.500	, 160.683	, 0.605
1.8010	, 44.484	, 155.192	, 0.552
1.9010	, 43.415	, 143.496	, 0.483
2.0010	, 40.037	, 125.717	, 0.402
2.1010	, 40.896	, 122.301	, 0.373
2.2010	, 40.057	, 114.351	, 0.333
2.3010	, 38.958	, 106.379	, 0.296
2.4010	, 39.060	, 102.215	, 0.273
2.5010	, 40.123	, 100.799	, 0.258
2.6010	, 41.237	, 99.615	, 0.245
2.7010	, 43.269	, 100.655	, 0.239
2.8010	, 44.119	, 98.966	, 0.226
2.9010	, 44.084	, 95.481	, 0.211
3.0010	, 43.411	, 90.889	, 0.194
3.1010	, 42.259	, 85.625	, 0.177
3.2010	, 40.773	, 80.033	, 0.160
3.3010	, 39.104	, 74.432	, 0.144
3.4010	, 37.443	, 69.173	, 0.130
3.5010	, 35.981	, 64.574	, 0.118
3.6010	, 34.881	, 60.862	, 0.108
3.7010	, 34.290	, 58.213	, 0.101
3.8010	, 34.278	, 56.662	, 0.095
3.9010	, 34.825	, 56.092	, 0.092
4.0010	, 35.852	, 56.302	, 0.090
4.1010	, 37.232	, 57.044	, 0.089
4.2010	, 38.787	, 58.012	, 0.088
4.3010	, 40.310	, 58.887	, 0.088
4.4010	, 41.635	, 59.441	, 0.087
4.5010	, 44.848	, 62.606	, 0.089
4.6010	, 47.938	, 65.465	, 0.091
4.7010	, 50.934	, 68.076	, 0.093
4.8010	, 54.188	, 70.917	, 0.095
4.9010	, 57.265	, 73.415	, 0.096
5.0010	, 60.070	, 75.472	, 0.097
5.1010	, 62.543	, 77.038	, 0.097
5.2010	, 64.658	, 78.111	, 0.096
5.3010	, 66.413	, 78.718	, 0.095
5.4010	, 67.818	, 78.895	, 0.094
5.5010	, 68.879	, 78.673	, 0.092
5.6010	, 69.601	, 78.078	, 0.089
5.7010	, 69.984	, 77.131	, 0.087
5.8010	, 70.039	, 75.861	, 0.084
5.9010	, 69.789	, 74.309	, 0.081
6.0010	, 69.268	, 72.525	, 0.077
6.1010	, 70.824	, 72.939	, 0.077
6.2010	, 72.771	, 73.735	, 0.076
6.3010	, 74.423	, 74.213	, 0.075
6.4010	, 75.810	, 74.415	, 0.074
6.5010	, 76.961	, 74.382	, 0.073
6.6010	, 77.888	, 74.138	, 0.072
6.7010	, 78.603	, 73.702	, 0.070
6.8010	, 79.110	, 73.087	, 0.069
6.9010	, 79.413	, 72.303	, 0.067
7.0010	, 79.518	, 71.365	, 0.065
7.1010	, 79.428	, 70.281	, 0.063
7.2010	, 79.154	, 69.065	, 0.061
7.3010	, 78.710	, 67.737	, 0.059
7.4010	, 78.119	, 66.320	, 0.057
7.5010	, 77.394	, 64.829	, 0.055
7.6010	, 76.557	, 63.284	, 0.053
7.7010	, 75.628	, 61.704	, 0.051
7.8010	, 74.616	, 60.098	, 0.049
7.9010	, 73.542	, 58.483	, 0.047
8.0010	, 72.403	, 56.858	, 0.046
8.1010	, 71.214	, 55.234	, 0.044
8.2010	, 69.968	, 53.606	, 0.042
8.3010	, 68.670	, 51.978	, 0.040
8.4010	, 67.316	, 50.346	, 0.038
8.5010	, 65.903	, 48.710	, 0.037
8.6010	, 64.435	, 47.071	, 0.035
8.7010	, 62.906	, 45.426	, 0.033
8.8010	, 61.319	, 43.777	, 0.032
8.9010	, 59.681	, 42.129	, 0.030
9.0010	, 57.993	, 40.482	, 0.029
9.1010	, 56.261	, 38.842	, 0.027
9.2010	, 55.759	, 38.076	, 0.027
9.3010	, 56.724	, 38.319	, 0.026
9.4010	, 57.641	, 38.524	, 0.026
9.5010	, 58.506	, 38.691	, 0.026
9.6010	, 59.320	, 38.821	, 0.026
9.7010	, 60.082	, 38.914	, 0.026
9.8010	, 60.793	, 38.973	, 0.025
9.9010	, 61.455	, 38.999	, 0.025
 
acceleration, velocity, displacement and normalized Arias intensity time histories:
 
time [s]	accel. [g]	vel. [cm/s]	displ. [cm]	AI
0.000	-0.0002109	0.0000000	0.0000000	0.0000000
0.005	-0.0002112	-0.0010352	-0.0000026	0.0000000
0.010	-0.0002115	-0.0020719	-0.0000104	0.0000000
0.015	-0.0002118	-0.0031099	-0.0000233	0.0000000
0.020	-0.0002120	-0.0041493	-0.0000415	0.0000000
0.025	-0.0002123	-0.0051900	-0.0000648	0.0000000
0.030	-0.0002126	-0.0062321	-0.0000934	0.0000000
0.035	-0.0002129	-0.0072755	-0.0001271	0.0000000
0.040	-0.0002131	-0.0083202	-0.0001661	0.0000000
0.045	-0.0002134	-0.0093662	-0.0002103	0.0000000
0.050	-0.0002136	-0.0104135	-0.0002598	0.0000000
0.055	-0.0002139	-0.0114619	-0.0003145	0.0000000
0.060	-0.0002141	-0.0125115	-0.0003744	0.0000000
0.065	-0.0002144	-0.0135624	-0.0004396	0.0000000
0.070	-0.0002147	-0.0146148	-0.0005100	0.0000000
0.075	-0.0002149	-0.0156682	-0.0005857	0.0000000
0.080	-0.0002151	-0.0167227	-0.0006667	0.0000000
0.085	-0.0002153	-0.0177784	-0.0007530	0.0000000
0.090	-0.0002155	-0.0188350	-0.0008445	0.0000000
0.095	-0.0002157	-0.0198925	-0.0009413	0.0000000
0.100	-0.0002159	-0.0209508	-0.0010434	0.0000000
0.105	-0.0002162	-0.0220104	-0.0011508	0.0000000
0.110	-0.0002164	-0.0230712	-0.0012635	0.0000000
0.115	-0.0002166	-0.0241332	-0.0013816	0.0000000
0.120	-0.0002168	-0.0251962	-0.0015049	0.0000000
0.125	-0.0002170	-0.0262601	-0.0016335	0.0000000
0.130	-0.0002172	-0.0273249	-0.0017675	0.0000000
0.135	-0.0002173	-0.0283905	-0.0019068	0.0000000
0.140	-0.0002174	-0.0294566	-0.0020514	0.0000000
0.145	-0.0002176	-0.0305232	-0.0022013	0.0000000
0.150	-0.0002177	-0.0315908	-0.0023566	0.0000000
0.155	-0.0002180	-0.0326593	-0.0025172	0.0000000
0.160	-0.0002182	-0.0337291	-0.0026832	0.0000000
0.165	-0.0002186	-0.0348003	-0.0028545	0.0000000
0.170	-0.0002189	-0.0358732	-0.0030312	0.0000000
0.175	-0.0002189	-0.0369469	-0.0032133	0.0000000
0.180	-0.0002189	-0.0380206	-0.0034007	0.0000000
0.185	-0.0002191	-0.0390948	-0.0035935	0.0000000
0.190	-0.0002191	-0.0401695	-0.0037916	0.0000000
0.195	-0.0002190	-0.0412439	-0.0039952	0.0000000
0.200	-0.0002190	-0.0423180	-0.0042041	0.0000000
0.205	-0.0002191	-0.0433923	-0.0044184	0.0000000
0.210	-0.0002196	-0.0444682	-0.0046380	0.0000000
0.215	-0.0002200	-0.0455463	-0.0048630	0.0000000
0.220	-0.0002197	-0.0466248	-0.0050935	0.0000000
0.225	-0.0002194	-0.0477018	-0.0053293	0.0000000
0.230	-0.0002198	-0.0487789	-0.0055705	0.0000000
0.235	-0.0002205	-0.0498586	-0.0058171	0.0000000
0.240	-0.0002208	-0.0509409	-0.0060691	0.0000000
0.245	-0.0002206	-0.0520234	-0.0063265	0.0000000
0.250	-0.0002203	-0.0531046	-0.0065893	0.0000000
0.255	-0.0002205	-0.0541855	-0.0068575	0.0000000
0.260	-0.0002203	-0.0552666	-0.0071312	0.0000000
0.265	-0.0002198	-0.0563461	-0.0074102	0.0000000
0.270	-0.0002203	-0.0574255	-0.0076946	0.0000000
0.275	-0.0002214	-0.0585088	-0.0079845	0.0000000
0.280	-0.0002217	-0.0595957	-0.0082797	0.0000000
0.285	-0.0002208	-0.0606811	-0.0085804	0.0000000
0.290	-0.0002202	-0.0617628	-0.0088865	0.0000000
0.295	-0.0002203	-0.0628431	-0.0091980	0.0000000
0.300	-0.0002206	-0.0639243	-0.0095150	0.0000000
0.305	-0.0002213	-0.0650080	-0.0098373	0.0000000
0.310	-0.0002218	-0.0660946	-0.0101650	0.0000000
0.315	-0.0002213	-0.0671813	-0.0104982	0.0000000
0.320	-0.0002206	-0.0682652	-0.0108369	0.0000000
0.325	-0.0002204	-0.0693467	-0.0111809	0.0000000
0.330	-0.0002207	-0.0704287	-0.0115303	0.0000000
0.335	-0.0002210	-0.0715122	-0.0118852	0.0000000
0.340	-0.0002209	-0.0725961	-0.0122454	0.0000000
0.345	-0.0002209	-0.0736796	-0.0126111	0.0000000
0.350	-0.0002214	-0.0747643	-0.0129822	0.0000000
0.355	-0.0002221	-0.0758519	-0.0133588	0.0000000
0.360	-0.0002218	-0.0769406	-0.0137408	0.0000000
0.365	-0.0002215	-0.0780277	-0.0141282	0.0000000
0.370	-0.0002208	-0.0791123	-0.0145210	0.0000000
