 
PGA:,  0.51 g
PGV:,  84.23 cm/s
PGD:,  48.04 cm
Arias Intensity:,  292.91 cm/s
Significant duration:,  10.91 s
Bracketed  duration:,  19.05 s
 
 
Damping ratio for spectra:  0.05

 
period [s]	SD. [cm]	PSV [cm/s]	PSA [g]
0.0010	, 0.000	, 0.080	, 0.515
0.1010	, 0.153	, 9.527	, 0.604
0.2010	, 1.280	, 40.019	, 1.275
0.3010	, 2.433	, 50.789	, 1.081
0.4010	, 4.196	, 65.750	, 1.050
0.5010	, 5.006	, 62.785	, 0.803
0.6010	, 9.284	, 97.060	, 1.034
0.7010	, 15.225	, 136.461	, 1.247
0.8010	, 19.923	, 156.282	, 1.250
0.9010	, 20.887	, 145.655	, 1.035
1.0010	, 18.779	, 117.874	, 0.754
1.1010	, 17.051	, 97.307	, 0.566
1.2010	, 23.130	, 121.007	, 0.645
1.3010	, 30.179	, 145.749	, 0.718
1.4010	, 25.773	, 115.586	, 0.528
1.5010	, 30.986	, 129.706	, 0.553
1.6010	, 34.069	, 133.706	, 0.535
1.7010	, 34.497	, 127.426	, 0.480
1.8010	, 33.056	, 115.325	, 0.410
1.9010	, 33.531	, 110.828	, 0.373
2.0010	, 38.674	, 121.436	, 0.389
2.1010	, 42.983	, 128.544	, 0.392
2.2010	, 45.402	, 129.609	, 0.377
2.3010	, 46.516	, 127.018	, 0.354
2.4010	, 47.135	, 123.346	, 0.329
2.5010	, 47.781	, 120.039	, 0.307
2.6010	, 48.516	, 117.199	, 0.289
2.7010	, 49.518	, 115.192	, 0.273
2.8010	, 50.996	, 114.394	, 0.262
2.9010	, 53.100	, 115.007	, 0.254
3.0010	, 55.882	, 117.000	, 0.250
3.1010	, 59.291	, 120.134	, 0.248
3.2010	, 63.192	, 124.038	, 0.248
3.3010	, 67.400	, 128.291	, 0.249
3.4010	, 71.731	, 132.520	, 0.250
3.5010	, 76.058	, 136.500	, 0.250
3.6010	, 80.303	, 140.117	, 0.249
3.7010	, 84.326	, 143.160	, 0.248
3.8010	, 87.974	, 145.425	, 0.245
3.9010	, 91.192	, 146.879	, 0.241
4.0010	, 93.999	, 147.617	, 0.236
4.1010	, 99.546	, 152.516	, 0.238
4.2010	, 107.960	, 161.469	, 0.246
4.3010	, 116.147	, 169.675	, 0.253
4.4010	, 125.470	, 179.130	, 0.261
4.5010	, 133.871	, 186.878	, 0.266
4.6010	, 140.843	, 192.338	, 0.268
4.7010	, 146.164	, 195.357	, 0.266
4.8010	, 150.285	, 196.682	, 0.262
4.9010	, 153.457	, 196.736	, 0.257
5.0010	, 156.525	, 196.656	, 0.252
5.1010	, 158.200	, 194.864	, 0.245
