 
PGA:,  0.44 g
PGV:,  23.54 cm/s
PGD:,  5.44 cm
Arias Intensity:,  259.89 cm/s
Significant duration:,   9.56 s
Bracketed  duration:,  14.35 s
 
 
Damping ratio for spectra:  0.05

 
period [s]	SD. [cm]	PSV [cm/s]	PSA [g]
0.0010	, 0.000	, 0.069	, 0.442
0.1010	, 0.343	, 21.321	, 1.352
0.2010	, 0.943	, 29.493	, 0.940
0.3010	, 1.966	, 41.031	, 0.873
0.4010	, 2.895	, 45.367	, 0.725
0.5010	, 2.217	, 27.799	, 0.355
0.6010	, 4.512	, 47.172	, 0.503
0.7010	, 3.839	, 34.409	, 0.314
0.8010	, 3.496	, 27.425	, 0.219
0.9010	, 3.260	, 22.733	, 0.162
1.0010	, 4.423	, 27.760	, 0.178
1.1010	, 6.594	, 37.629	, 0.219
1.2010	, 6.676	, 34.924	, 0.186
1.3010	, 6.365	, 30.740	, 0.151
1.4010	, 6.910	, 30.992	, 0.142
1.5010	, 9.677	, 40.506	, 0.173
1.6010	, 11.576	, 45.429	, 0.182
1.7010	, 10.537	, 38.921	, 0.147
1.8010	, 10.593	, 36.955	, 0.131
1.9010	, 11.780	, 38.935	, 0.131
2.0010	, 12.774	, 40.110	, 0.128
2.1010	, 13.506	, 40.391	, 0.123
2.2010	, 14.002	, 39.972	, 0.116
2.3010	, 14.235	, 38.870	, 0.108
2.4010	, 14.669	, 38.388	, 0.102
2.5010	, 16.270	, 40.876	, 0.105
2.6010	, 17.471	, 42.205	, 0.104
2.7010	, 17.291	, 40.223	, 0.095
2.8010	, 16.381	, 36.745	, 0.084
2.9010	, 16.084	, 34.835	, 0.077
3.0010	, 15.003	, 31.412	, 0.067
3.1010	, 14.204	, 28.780	, 0.059
3.2010	, 14.209	, 27.890	, 0.056
3.3010	, 14.102	, 26.841	, 0.052
3.4010	, 13.906	, 25.690	, 0.048
3.5010	, 13.644	, 24.487	, 0.045
3.6010	, 13.337	, 23.271	, 0.041
3.7010	, 13.000	, 22.070	, 0.038
3.8010	, 12.644	, 20.902	, 0.035
3.9010	, 12.277	, 19.774	, 0.032
4.0010	, 11.903	, 18.692	, 0.030
4.1010	, 11.529	, 17.663	, 0.028
4.2010	, 11.155	, 16.684	, 0.025
4.3010	, 10.788	, 15.760	, 0.023
4.4010	, 10.428	, 14.888	, 0.022
4.5010	, 10.077	, 14.067	, 0.020
4.6010	, 9.736	, 13.296	, 0.019
4.7010	, 9.408	, 12.574	, 0.017
4.8010	, 9.092	, 11.899	, 0.016
4.9010	, 8.789	, 11.268	, 0.015
5.0010	, 8.500	, 10.680	, 0.014
5.1010	, 8.226	, 10.132	, 0.013
5.2010	, 8.051	, 9.727	, 0.012
5.3010	, 8.042	, 9.532	, 0.012
5.4010	, 8.027	, 9.339	, 0.011
