 
PGA:,  0.40 g
PGV:,  44.73 cm/s
PGD:,  8.58 cm
Arias Intensity:,  199.61 cm/s
Significant duration:,   8.11 s
Bracketed  duration:,  16.54 s
 
 
Damping ratio for spectra:  0.05

 
period [s]	SD. [cm]	PSV [cm/s]	PSA [g]
0.0010	, 0.000	, 0.063	, 0.401
0.1010	, 0.162	, 10.095	, 0.640
0.2010	, 0.973	, 30.425	, 0.969
0.3010	, 2.223	, 46.413	, 0.988
0.4010	, 3.190	, 49.977	, 0.798
0.5010	, 5.336	, 66.923	, 0.856
0.6010	, 9.606	, 100.429	, 1.070
0.7010	, 16.393	, 146.933	, 1.342
0.8010	, 20.556	, 161.249	, 1.289
0.9010	, 17.385	, 121.238	, 0.862
1.0010	, 14.875	, 93.372	, 0.597
1.1010	, 14.098	, 80.452	, 0.468
1.2010	, 13.405	, 70.130	, 0.374
1.3010	, 12.757	, 61.608	, 0.303
1.4010	, 14.698	, 65.917	, 0.301
1.5010	, 14.392	, 60.246	, 0.257
1.6010	, 14.784	, 58.021	, 0.232
1.7010	, 13.464	, 49.734	, 0.187
1.8010	, 12.795	, 44.640	, 0.159
1.9010	, 12.110	, 40.028	, 0.135
2.0010	, 11.218	, 35.224	, 0.113
2.1010	, 10.800	, 32.299	, 0.098
2.2010	, 11.159	, 31.855	, 0.093
2.3010	, 11.408	, 31.150	, 0.087
2.4010	, 11.565	, 30.263	, 0.081
2.5010	, 11.646	, 29.259	, 0.075
2.6010	, 11.670	, 28.190	, 0.069
2.7010	, 11.645	, 27.089	, 0.064
2.8010	, 11.584	, 25.986	, 0.059
2.9010	, 11.499	, 24.905	, 0.055
3.0010	, 11.394	, 23.855	, 0.051
3.1010	, 11.277	, 22.849	, 0.047
3.2010	, 11.153	, 21.892	, 0.044
3.3010	, 11.214	, 21.344	, 0.041
3.4010	, 11.793	, 21.786	, 0.041
3.5010	, 13.512	, 24.251	, 0.044
3.6010	, 15.003	, 26.177	, 0.047
3.7010	, 16.207	, 27.515	, 0.048
3.8010	, 17.112	, 28.286	, 0.048
3.9010	, 17.727	, 28.553	, 0.047
4.0010	, 18.077	, 28.389	, 0.045
4.1010	, 18.168	, 27.835	, 0.043
4.2010	, 18.045	, 26.988	, 0.041
4.3010	, 18.369	, 26.834	, 0.040
4.4010	, 19.444	, 27.759	, 0.040
4.5010	, 20.222	, 28.228	, 0.040
4.6010	, 21.853	, 29.843	, 0.042
4.7010	, 23.049	, 30.807	, 0.042
4.8010	, 23.613	, 30.903	, 0.041
4.9010	, 23.448	, 30.061	, 0.039
5.0010	, 22.595	, 28.388	, 0.036
5.1010	, 21.605	, 26.612	, 0.033
5.2010	, 21.779	, 26.310	, 0.032
5.3010	, 21.678	, 25.694	, 0.031
5.4010	, 21.299	, 24.778	, 0.029
5.5010	, 20.628	, 23.561	, 0.027
5.6010	, 19.686	, 22.084	, 0.025
5.7010	, 19.014	, 20.955	, 0.024
5.8010	, 18.685	, 20.238	, 0.022
5.9010	, 18.213	, 19.392	, 0.021
6.0010	, 17.621	, 18.449	, 0.020
6.1010	, 16.923	, 17.429	, 0.018
6.2010	, 16.140	, 16.353	, 0.017
6.3010	, 15.525	, 15.481	, 0.016
6.4010	, 15.312	, 15.030	, 0.015
6.5010	, 15.085	, 14.580	, 0.014
6.6010	, 14.847	, 14.132	, 0.014
6.7010	, 14.599	, 13.689	, 0.013
6.8010	, 14.345	, 13.253	, 0.012
6.9010	, 14.085	, 12.824	, 0.012
7.0010	, 13.822	, 12.405	, 0.011
7.1010	, 13.558	, 11.996	, 0.011
7.2010	, 13.292	, 11.598	, 0.010
7.3010	, 13.043	, 11.225	, 0.010
7.4010	, 12.798	, 10.865	, 0.009
7.5010	, 12.555	, 10.517	, 0.009
7.6010	, 12.314	, 10.179	, 0.009
7.7010	, 12.076	, 9.852	, 0.008
7.8010	, 11.839	, 9.536	, 0.008
7.9010	, 11.605	, 9.229	, 0.007
8.0010	, 11.375	, 8.932	, 0.007
8.1010	, 11.147	, 8.646	, 0.007
8.2010	, 10.923	, 8.368	, 0.007
8.3010	, 10.702	, 8.100	, 0.006
8.4010	, 10.485	, 7.842	, 0.006
8.5010	, 10.456	, 7.728	, 0.006
8.6010	, 10.460	, 7.641	, 0.006
8.7010	, 10.461	, 7.554	, 0.006
8.8010	, 10.461	, 7.468	, 0.005
8.9010	, 10.459	, 7.383	, 0.005
9.0010	, 10.455	, 7.298	, 0.005
9.1010	, 10.451	, 7.216	, 0.005
9.2010	, 10.446	, 7.133	, 0.005
9.3010	, 10.440	, 7.052	, 0.005
9.4010	, 10.431	, 6.972	, 0.005
9.5010	, 10.422	, 6.892	, 0.005
9.6010	, 10.412	, 6.814	, 0.005
9.7010	, 10.400	, 6.736	, 0.004
9.8010	, 10.387	, 6.659	, 0.004
9.9010	, 10.373	, 6.583	, 0.004
 
acceleration, velocity, displacement and normalized Arias intensity time histories:
 
time [s]	accel. [g]	vel. [cm/s]	displ. [cm]	AI
0.000	0.0000384	0.0000000	0.0000000	0.0000000
0.005	0.0000376	0.0001865	0.0000005	0.0000000
0.010	0.0000367	0.0003688	0.0000019	0.0000000
0.015	0.0000359	0.0005470	0.0000041	0.0000000
0.020	0.0000351	0.0007211	0.0000073	0.0000000
0.025	0.0000342	0.0008909	0.0000113	0.0000000
0.030	0.0000334	0.0010566	0.0000162	0.0000000
0.035	0.0000325	0.0012181	0.0000219	0.0000000
0.040	0.0000316	0.0013754	0.0000284	0.0000000
0.045	0.0000308	0.0015285	0.0000356	0.0000000
0.050	0.0000299	0.0016773	0.0000437	0.0000000
0.055	0.0000291	0.0018219	0.0000524	0.0000000
0.060	0.0000282	0.0019625	0.0000619	0.0000000
0.065	0.0000273	0.0020987	0.0000720	0.0000000
0.070	0.0000264	0.0022304	0.0000828	0.0000000
0.075	0.0000255	0.0023576	0.0000943	0.0000000
0.080	0.0000245	0.0024801	0.0001064	0.0000000
0.085	0.0000234	0.0025977	0.0001191	0.0000000
0.090	0.0000226	0.0027107	0.0001324	0.0000000
0.095	0.0000219	0.0028198	0.0001462	0.0000000
0.100	0.0000210	0.0029250	0.0001606	0.0000000
0.105	0.0000196	0.0030245	0.0001754	0.0000000
0.110	0.0000182	0.0031172	0.0001908	0.0000000
0.115	0.0000171	0.0032037	0.0002066	0.0000000
0.120	0.0000167	0.0032868	0.0002228	0.0000000
0.125	0.0000163	0.0033678	0.0002395	0.0000000
0.130	0.0000149	0.0034442	0.0002565	0.0000000
0.135	0.0000141	0.0035153	0.0002739	0.0000000
0.140	0.0000146	0.0035857	0.0002916	0.0000000
0.145	0.0000151	0.0036586	0.0003097	0.0000000
0.150	0.0000134	0.0037286	0.0003282	0.0000000
0.155	0.0000081	0.0037815	0.0003470	0.0000000
0.160	0.0000030	0.0038089	0.0003660	0.0000000
0.165	0.0000011	0.0038191	0.0003850	0.0000000
0.170	0.0000008	0.0038239	0.0004041	0.0000000
0.175	0.0000009	0.0038281	0.0004233	0.0000000
0.180	0.0000015	0.0038338	0.0004424	0.0000000
0.185	0.0000011	0.0038400	0.0004616	0.0000000
0.190	-0.0000011	0.0038401	0.0004808	0.0000000
0.195	-0.0000051	0.0038250	0.0005000	0.0000000
0.200	-0.0000074	0.0037945	0.0005190	0.0000000
0.205	-0.0000069	0.0037596	0.0005379	0.0000000
0.210	-0.0000033	0.0037347	0.0005566	0.0000000
0.215	0.0000040	0.0037363	0.0005753	0.0000000
0.220	0.0000100	0.0037705	0.0005941	0.0000000
0.225	0.0000100	0.0038193	0.0006131	0.0000000
0.230	0.0000040	0.0038536	0.0006322	0.0000000
0.235	-0.0000042	0.0038532	0.0006515	0.0000000
0.240	-0.0000131	0.0038108	0.0006707	0.0000000
0.245	-0.0000135	0.0037456	0.0006896	0.0000000
0.250	-0.0000055	0.0036990	0.0007082	0.0000000
0.255	-0.0000034	0.0036770	0.0007266	0.0000000
0.260	-0.0000188	0.0036223	0.0007449	0.0000000
0.265	-0.0000487	0.0034567	0.0007626	0.0000000
0.270	-0.0000681	0.0031701	0.0007791	0.0000000
0.275	-0.0000749	0.0028194	0.0007941	0.0000000
0.280	-0.0000775	0.0024457	0.0008073	0.0000000
0.285	-0.0000784	0.0020635	0.0008185	0.0000000
0.290	-0.0000719	0.0016951	0.0008279	0.0000000
0.295	-0.0000767	0.0013308	0.0008355	0.0000000
0.300	-0.0000927	0.0009154	0.0008411	0.0000000
0.305	-0.0001201	0.0003936	0.0008444	0.0000000
0.310	-0.0001435	-0.0002529	0.0008447	0.0000000
0.315	-0.0001330	-0.0009310	0.0008418	0.0000000
0.320	-0.0001084	-0.0015230	0.0008356	0.0000000
0.325	-0.0001060	-0.0020488	0.0008267	0.0000000
0.330	-0.0001485	-0.0026729	0.0008149	0.0000000
0.335	-0.0002108	-0.0035542	0.0007993	0.0000000
0.340	-0.0002421	-0.0046650	0.0007788	0.0000000
0.345	-0.0002461	-0.0058624	0.0007525	0.0000000
0.350	-0.0002334	-0.0070385	0.0007202	0.0000000
0.355	-0.0002084	-0.0081221	0.0006823	0.0000000
0.360	-0.0001976	-0.0091180	0.0006392	0.0000000
0.365	-0.0002135	-0.0101263	0.0005911	0.0000000
0.370	-0.0002471	-0.0112559	0.0005377	0.0000000
0.375	-0.0002538	-0.0124841	0.0004783	0.0000000
0.380	-0.0002616	-0.0137479	0.0004127	0.0000000
0.385	-0.0002624	-0.0150330	0.0003408	0.0000000
0.390	-0.0002068	-0.0161838	0.0002627	0.0000000
0.395	-0.0001266	-0.0170014	0.0001798	0.0000000
0.400	-0.0000768	-0.0175001	0.0000935	0.0000000
0.405	-0.0000560	-0.0178257	0.0000052	0.0000000
0.410	-0.0000493	-0.0180837	-0.0000846	0.0000000
0.415	-0.0000683	-0.0183721	-0.0001757	0.0000000
0.420	-0.0001459	-0.0188974	-0.0002689	0.0000000
0.425	-0.0002571	-0.0198857	-0.0003658	0.0000000
0.430	-0.0003206	-0.0213026	-0.0004688	0.0000000
0.435	-0.0003171	-0.0228667	-0.0005792	0.0000000
0.440	-0.0002673	-0.0243001	-0.0006972	0.0000000
0.445	-0.0002508	-0.0255709	-0.0008218	0.0000000
0.450	-0.0002216	-0.0267294	-0.0009526	0.0000001
0.455	-0.0000788	-0.0274660	-0.0010881	0.0000001
0.460	0.0000804	-0.0274621	-0.0012254	0.0000001
0.465	0.0000770	-0.0270760	-0.0013617	0.0000001
0.470	-0.0000530	-0.0270170	-0.0014970	0.0000001
0.475	-0.0001656	-0.0275532	-0.0016334	0.0000001
0.480	-0.0001602	-0.0283524	-0.0017732	0.0000001
0.485	-0.0000802	-0.0289420	-0.0019164	0.0000001
0.490	-0.0000280	-0.0292071	-0.0020618	0.0000001
0.495	-0.0000798	-0.0294714	-0.0022085	0.0000001
0.500	-0.0002653	-0.0303176	-0.0023579	0.0000001
0.505	-0.0004951	-0.0321825	-0.0025142	0.0000001
0.510	-0.0006314	-0.0349454	-0.0026820	0.0000001
0.515	-0.0006092	-0.0379880	-0.0028643	0.0000001
0.520	-0.0004930	-0.0406911	-0.0030610	0.0000001
0.525	-0.0003529	-0.0427657	-0.0032697	0.0000001
0.530	-0.0001861	-0.0440875	-0.0034868	0.0000001
0.535	-0.0000058	-0.0445581	-0.0037084	0.0000001
0.540	0.0000720	-0.0443959	-0.0039308	0.0000001
0.545	-0.0000125	-0.0442501	-0.0041524	0.0000001
0.550	-0.0001607	-0.0446749	-0.0043747	0.0000001
0.555	-0.0003221	-0.0458590	-0.0046011	0.0000001
0.560	-0.0004866	-0.0478422	-0.0048353	0.0000001
0.565	-0.0005658	-0.0504232	-0.0050810	0.0000001
0.570	-0.0004126	-0.0528226	-0.0053391	0.0000001
0.575	-0.0000835	-0.0540392	-0.0056063	0.0000001
0.580	0.0000908	-0.0540212	-0.0058764	0.0000001
0.585	-0.0003988	-0.0547764	-0.0061484	0.0000001
0.590	-0.0014876	-0.0594028	-0.0064339	0.0000002
0.595	-0.0025673	-0.0693475	-0.0067557	0.0000004
0.600	-0.0033595	-0.0838831	-0.0071388	0.0000007
0.605	-0.0037593	-0.1013421	-0.0076019	0.0000012
0.610	-0.0038579	-0.1200233	-0.0081553	0.0000018
0.615	-0.0038951	-0.1390374	-0.0088029	0.0000023
0.620	-0.0037209	-0.1577157	-0.0095448	0.0000029
0.625	-0.0030814	-0.1743983	-0.0103751	0.0000034
0.630	-0.0022517	-0.1874775	-0.0112798	0.0000036
0.635	-0.0017169	-0.1972103	-0.0122415	0.0000038
0.640	-0.0015827	-0.2053024	-0.0132478	0.0000039
0.645	-0.0016877	-0.2133231	-0.0142944	0.0000040
0.650	-0.0017407	-0.2217313	-0.0153820	0.0000041
0.655	-0.0014979	-0.2296739	-0.0165105	0.0000042
0.660	-0.0009152	-0.2355919	-0.0176737	0.0000043
0.665	-0.0001853	-0.2382909	-0.0188584	0.0000043
0.670	0.0005030	-0.2375117	-0.0200479	0.0000043
0.675	0.0009999	-0.2338258	-0.0212262	0.0000043
0.680	0.0012922	-0.2282044	-0.0223813	0.0000044
0.685	0.0015424	-0.2212524	-0.0235049	0.0000044
0.690	0.0016294	-0.2134736	-0.0245918	0.0000045
0.695	0.0012191	-0.2064877	-0.0256417	0.0000046
0.700	0.0004079	-0.2024975	-0.0266641	0.0000047
0.705	-0.0003742	-0.2024148	-0.0276764	0.0000047
0.710	-0.0007838	-0.2052547	-0.0286956	0.0000047
0.715	-0.0005985	-0.2086449	-0.0297303	0.0000047
0.720	0.0001361	-0.2097790	-0.0307764	0.0000047
0.725	0.0009713	-0.2070632	-0.0318185	0.0000047
0.730	0.0015316	-0.2009248	-0.0328385	0.0000048
0.735	0.0017799	-0.1928033	-0.0338228	0.0000049
0.740	0.0018138	-0.1839898	-0.0347648	0.0000050
0.745	0.0015090	-0.1758406	-0.0356643	0.0000051
0.750	0.0009179	-0.1698885	-0.0365287	0.0000052
0.755	0.0000512	-0.1675117	-0.0373722	0.0000052
0.760	-0.0009344	-0.1696776	-0.0382151	0.0000052
0.765	-0.0018507	-0.1765078	-0.0390806	0.0000053
0.770	-0.0022755	-0.1866272	-0.0399884	0.0000055
0.775	-0.0021709	-0.1975321	-0.0409488	0.0000057
0.780	-0.0018008	-0.2072728	-0.0419609	0.0000058
0.785	-0.0016037	-0.2156224	-0.0430181	0.0000059
0.790	-0.0013895	-0.2229631	-0.0441146	0.0000060
0.795	-0.0008967	-0.2285699	-0.0452434	0.0000061
