 
PGA:,  0.37 g
PGV:,  29.06 cm/s
PGD:,  6.28 cm
Arias Intensity:,  157.12 cm/s
Significant duration:,  10.63 s
Bracketed  duration:,  12.96 s
 
 
Damping ratio for spectra:  0.05

 
period [s]	SD. [cm]	PSV [cm/s]	PSA [g]
0.0010	, 0.000	, 0.058	, 0.372
0.1010	, 0.152	, 9.471	, 0.601
0.2010	, 1.057	, 33.039	, 1.053
0.3010	, 2.053	, 42.865	, 0.912
0.4010	, 2.604	, 40.799	, 0.652
0.5010	, 4.492	, 56.336	, 0.720
0.6010	, 5.283	, 55.231	, 0.589
0.7010	, 7.135	, 63.949	, 0.584
0.8010	, 6.394	, 50.157	, 0.401
0.9010	, 8.454	, 58.953	, 0.419
1.0010	, 8.048	, 50.517	, 0.323
1.1010	, 7.023	, 40.079	, 0.233
1.2010	, 9.415	, 49.255	, 0.263
1.3010	, 8.372	, 40.430	, 0.199
1.4010	, 7.513	, 33.693	, 0.154
1.5010	, 8.586	, 35.943	, 0.153
1.6010	, 10.617	, 41.668	, 0.167
1.7010	, 12.869	, 47.535	, 0.179
1.8010	, 14.538	, 50.717	, 0.180
1.9010	, 15.848	, 52.382	, 0.176
2.0010	, 16.598	, 52.119	, 0.167
2.1010	, 17.763	, 53.122	, 0.162
2.2010	, 19.495	, 55.653	, 0.162
2.3010	, 20.728	, 56.600	, 0.158
2.4010	, 21.125	, 55.281	, 0.147
2.5010	, 20.598	, 51.748	, 0.133
2.6010	, 21.079	, 50.921	, 0.125
2.7010	, 21.080	, 49.037	, 0.116
2.8010	, 20.225	, 45.369	, 0.104
2.9010	, 18.704	, 40.511	, 0.089
3.0010	, 17.027	, 35.648	, 0.076
3.1010	, 15.606	, 31.620	, 0.065
3.2010	, 14.016	, 27.511	, 0.055
3.3010	, 12.418	, 23.636	, 0.046
3.4010	, 11.428	, 21.112	, 0.040
3.5010	, 10.645	, 19.105	, 0.035
3.6010	, 9.825	, 17.142	, 0.030
3.7010	, 9.017	, 15.309	, 0.026
3.8010	, 8.265	, 13.662	, 0.023
3.9010	, 7.938	, 12.786	, 0.021
4.0010	, 7.598	, 11.931	, 0.019
4.1010	, 7.232	, 11.081	, 0.017
4.2010	, 7.340	, 10.978	, 0.017
4.3010	, 7.518	, 10.983	, 0.016
4.4010	, 7.711	, 11.009	, 0.016
4.5010	, 7.897	, 11.023	, 0.016
4.6010	, 8.058	, 11.004	, 0.015
4.7010	, 8.185	, 10.940	, 0.015
4.8010	, 8.272	, 10.825	, 0.014
4.9010	, 8.315	, 10.660	, 0.014
5.0010	, 8.315	, 10.447	, 0.013
5.1010	, 8.275	, 10.192	, 0.013
5.2010	, 8.196	, 9.902	, 0.012
5.3010	, 8.086	, 9.584	, 0.012
5.4010	, 7.947	, 9.245	, 0.011
5.5010	, 7.785	, 8.892	, 0.010
5.6010	, 7.605	, 8.531	, 0.010
5.7010	, 7.411	, 8.168	, 0.009
5.8010	, 7.208	, 7.807	, 0.009
5.9010	, 7.216	, 7.683	, 0.008
6.0010	, 7.305	, 7.648	, 0.008
6.1010	, 7.380	, 7.601	, 0.008
6.2010	, 7.443	, 7.541	, 0.008
6.3010	, 7.492	, 7.471	, 0.008
6.4010	, 7.528	, 7.390	, 0.007
6.5010	, 7.553	, 7.300	, 0.007
6.6010	, 7.566	, 7.201	, 0.007
6.7010	, 7.568	, 7.096	, 0.007
6.8010	, 7.562	, 6.986	, 0.007
6.9010	, 7.546	, 6.870	, 0.006
7.0010	, 7.522	, 6.750	, 0.006
7.1010	, 7.490	, 6.628	, 0.006
7.2010	, 7.452	, 6.502	, 0.006
7.3010	, 7.408	, 6.376	, 0.006
7.4010	, 7.360	, 6.248	, 0.005
7.5010	, 7.307	, 6.120	, 0.005
7.6010	, 7.250	, 5.993	, 0.005
7.7010	, 7.189	, 5.866	, 0.005
