 
PGA:,  0.40 g
PGV:,  71.15 cm/s
PGD:,  49.70 cm
Arias Intensity:,  270.34 cm/s
Significant duration:,  11.07 s
Bracketed  duration:,  20.82 s
 
 
Damping ratio for spectra:  0.05

 
period [s]	SD. [cm]	PSV [cm/s]	PSA [g]
0.0010	, 0.000	, 0.063	, 0.404
0.1010	, 0.147	, 9.115	, 0.578
0.2010	, 0.553	, 17.275	, 0.550
0.3010	, 2.828	, 59.024	, 1.256
0.4010	, 7.507	, 117.618	, 1.879
0.5010	, 6.644	, 83.327	, 1.065
0.6010	, 6.931	, 72.459	, 0.772
0.7010	, 11.870	, 106.396	, 0.972
0.8010	, 14.703	, 115.330	, 0.922
0.9010	, 14.498	, 101.102	, 0.719
1.0010	, 13.124	, 82.377	, 0.527
1.1010	, 10.726	, 61.214	, 0.356
1.2010	, 11.515	, 60.242	, 0.321
1.3010	, 12.514	, 60.434	, 0.298
1.4010	, 12.217	, 54.791	, 0.250
1.5010	, 16.057	, 67.214	, 0.287
1.6010	, 18.710	, 73.427	, 0.294
1.7010	, 19.859	, 73.354	, 0.276
1.8010	, 20.396	, 71.156	, 0.253
1.9010	, 20.639	, 68.217	, 0.230
2.0010	, 21.668	, 68.037	, 0.218
2.1010	, 24.727	, 73.948	, 0.225
2.2010	, 28.634	, 81.740	, 0.238
2.3010	, 31.489	, 85.984	, 0.239
2.4010	, 32.641	, 85.419	, 0.228
2.5010	, 32.984	, 82.865	, 0.212
2.6010	, 34.180	, 82.567	, 0.203
2.7010	, 37.091	, 86.283	, 0.205
2.8010	, 41.000	, 91.972	, 0.210
2.9010	, 45.374	, 98.274	, 0.217
3.0010	, 50.458	, 105.645	, 0.225
3.1010	, 55.830	, 113.121	, 0.234
3.2010	, 60.552	, 118.856	, 0.238
3.3010	, 63.637	, 121.127	, 0.235
3.4010	, 68.718	, 126.953	, 0.239
3.5010	, 72.842	, 130.728	, 0.239
3.6010	, 74.152	, 129.383	, 0.230
3.7010	, 72.487	, 123.062	, 0.213
3.8010	, 68.648	, 113.478	, 0.191
3.9010	, 65.149	, 104.932	, 0.172
4.0010	, 60.333	, 94.748	, 0.152
4.1010	, 61.808	, 94.697	, 0.148
4.2010	, 64.925	, 97.104	, 0.148
4.3010	, 67.494	, 98.600	, 0.147
4.4010	, 70.042	, 99.997	, 0.146
4.5010	, 72.690	, 101.472	, 0.144
4.6010	, 77.651	, 106.042	, 0.148
4.7010	, 85.955	, 114.884	, 0.157
4.8010	, 93.614	, 122.515	, 0.163
4.9010	, 100.311	, 128.600	, 0.168
5.0010	, 105.766	, 132.883	, 0.170
5.1010	, 109.947	, 135.428	, 0.170
5.2010	, 112.770	, 136.235	, 0.168
5.3010	, 117.744	, 139.560	, 0.169
5.4010	, 124.180	, 144.463	, 0.171
5.5010	, 129.397	, 147.796	, 0.172
5.6010	, 133.228	, 149.455	, 0.171
5.7010	, 135.535	, 149.376	, 0.168
5.8010	, 136.434	, 147.774	, 0.163
5.9010	, 136.059	, 144.871	, 0.157
6.0010	, 134.569	, 140.896	, 0.150
6.1010	, 132.124	, 136.070	, 0.143
6.2010	, 132.596	, 134.353	, 0.139
6.3010	, 133.268	, 132.891	, 0.135
6.4010	, 134.950	, 132.466	, 0.133
6.5010	, 135.859	, 131.307	, 0.129
6.6010	, 136.013	, 129.464	, 0.126
6.7010	, 135.483	, 127.036	, 0.121
6.8010	, 134.362	, 124.132	, 0.117
6.9010	, 132.754	, 120.869	, 0.112
7.0010	, 131.451	, 117.973	, 0.108
7.1010	, 129.932	, 114.968	, 0.104
7.2010	, 127.992	, 111.678	, 0.099
7.3010	, 125.680	, 108.159	, 0.095
7.4010	, 123.195	, 104.588	, 0.091
7.5010	, 120.492	, 100.929	, 0.086
7.6010	, 117.494	, 97.124	, 0.082
7.7010	, 117.497	, 95.865	, 0.080
7.8010	, 117.712	, 94.809	, 0.078
7.9010	, 117.821	, 93.696	, 0.076
8.0010	, 117.862	, 92.557	, 0.074
8.1010	, 117.844	, 91.401	, 0.072
8.2010	, 117.749	, 90.213	, 0.070
8.3010	, 117.536	, 88.966	, 0.069
8.4010	, 117.202	, 87.656	, 0.067
8.5010	, 116.746	, 86.288	, 0.065
8.6010	, 116.175	, 84.868	, 0.063
8.7010	, 115.496	, 83.402	, 0.061
8.8010	, 114.719	, 81.900	, 0.060
8.9010	, 113.849	, 80.366	, 0.058
9.0010	, 112.894	, 78.806	, 0.056
9.1010	, 111.862	, 77.228	, 0.054
9.2010	, 110.762	, 75.637	, 0.053
9.3010	, 109.606	, 74.043	, 0.051
9.4010	, 108.404	, 72.452	, 0.049
9.5010	, 107.164	, 70.869	, 0.048
9.6010	, 105.894	, 69.300	, 0.046
9.7010	, 104.604	, 67.751	, 0.045
9.8010	, 103.597	, 66.413	, 0.043
9.9010	, 102.570	, 65.091	, 0.042
 
acceleration, velocity, displacement and normalized Arias intensity time histories:
 
time [s]	accel. [g]	vel. [cm/s]	displ. [cm]	AI
0.000	-0.0106990	0.0000000	0.0000000	0.0000000
0.005	-0.0106649	-0.0523949	-0.0001310	0.0000033
0.010	-0.0106308	-0.1046225	-0.0005235	0.0000065
0.015	-0.0105976	-0.1566851	-0.0011768	0.0000097
0.020	-0.0105656	-0.2085877	-0.0020900	0.0000129
0.025	-0.0105335	-0.2603333	-0.0032623	0.0000161
0.030	-0.0104996	-0.3119171	-0.0046929	0.0000192
0.035	-0.0104653	-0.3633336	-0.0063810	0.0000223
0.040	-0.0104312	-0.4145821	-0.0083258	0.0000255
0.045	-0.0103950	-0.4656584	-0.0105264	0.0000285
0.050	-0.0103570	-0.5165527	-0.0129820	0.0000316
0.055	-0.0103202	-0.5672635	-0.0156915	0.0000347
0.060	-0.0102845	-0.6177966	-0.0186541	0.0000377
0.065	-0.0102506	-0.6681590	-0.0218690	0.0000407
0.070	-0.0102224	-0.7183692	-0.0253354	0.0000437
0.075	-0.0101989	-0.7684525	-0.0290524	0.0000466
0.080	-0.0101719	-0.8184118	-0.0330196	0.0000496
0.085	-0.0101398	-0.8682262	-0.0372362	0.0000525
0.090	-0.0101072	-0.9178820	-0.0417014	0.0000555
0.095	-0.0100767	-0.9673831	-0.0464146	0.0000584
0.100	-0.0100433	-1.0167273	-0.0513749	0.0000612
0.105	-0.0099966	-1.0658750	-0.0565814	0.0000641
0.110	-0.0099337	-1.1147541	-0.0620330	0.0000669
0.115	-0.0098666	-1.1633145	-0.0677281	0.0000697
0.120	-0.0098205	-1.2115970	-0.0736654	0.0000725
0.125	-0.0098102	-1.2597413	-0.0798438	0.0000752
0.130	-0.0098179	-1.3078792	-0.0862628	0.0000780
0.135	-0.0098168	-1.3560331	-0.0929226	0.0000807
0.140	-0.0097966	-1.4041349	-0.0998230	0.0000835
0.145	-0.0097697	-1.4521213	-0.1069636	0.0000862
0.150	-0.0097313	-1.4999473	-0.1143438	0.0000889
0.155	-0.0096637	-1.5475134	-0.1219625	0.0000916
0.160	-0.0096002	-1.5947581	-0.1298181	0.0000942
0.165	-0.0095920	-1.6418270	-0.1379096	0.0000969
0.170	-0.0095881	-1.6888661	-0.1462363	0.0000995
0.175	-0.0095157	-1.7357182	-0.1547978	0.0001021
0.180	-0.0093978	-1.7821036	-0.1635924	0.0001046
0.185	-0.0092883	-1.8279313	-0.1726174	0.0001071
0.190	-0.0092159	-1.8733128	-0.1818706	0.0001096
0.195	-0.0091920	-1.9184583	-0.1913500	0.0001120
0.200	-0.0092235	-1.9636223	-0.2010552	0.0001144
0.205	-0.0092858	-2.0090164	-0.2109868	0.0001168
0.210	-0.0093369	-2.0546886	-0.2211460	0.0001193
0.215	-0.0093444	-2.1005045	-0.2315340	0.0001218
0.220	-0.0093182	-2.1462744	-0.2421510	0.0001243
0.225	-0.0092853	-2.1918995	-0.2529964	0.0001267
0.230	-0.0092534	-2.2373658	-0.2640696	0.0001292
0.235	-0.0092255	-2.2826854	-0.2753697	0.0001316
0.240	-0.0092062	-2.3278892	-0.2868961	0.0001340
0.245	-0.0091626	-2.3729387	-0.2986482	0.0001364
0.250	-0.0090315	-2.4175598	-0.3106245	0.0001388
0.255	-0.0088262	-2.4613559	-0.3228217	0.0001411
0.260	-0.0086746	-2.5042765	-0.3352358	0.0001433
0.265	-0.0087320	-2.5469661	-0.3478639	0.0001454
0.270	-0.0089215	-2.5902613	-0.3607070	0.0001476
0.275	-0.0090099	-2.6342382	-0.3737682	0.0001499
0.280	-0.0089845	-2.6783696	-0.3870498	0.0001522
0.285	-0.0089322	-2.7223101	-0.4005515	0.0001545
0.290	-0.0088297	-2.7658711	-0.4142719	0.0001568
0.295	-0.0086338	-2.8087002	-0.4282083	0.0001589
0.300	-0.0083838	-2.8504358	-0.4423562	0.0001610
0.305	-0.0081815	-2.8910621	-0.4567099	0.0001630
0.310	-0.0081052	-2.9310051	-0.4712651	0.0001648
0.315	-0.0080930	-2.9707311	-0.4860194	0.0001667
0.320	-0.0080095	-3.0102224	-0.5009718	0.0001686
0.325	-0.0077913	-3.0489739	-0.5161198	0.0001703
0.330	-0.0076184	-3.0867664	-0.5314592	0.0001720
0.335	-0.0076791	-3.1242836	-0.5469868	0.0001737
0.340	-0.0077908	-3.1622237	-0.5627031	0.0001754
0.345	-0.0078062	-3.2004756	-0.5786098	0.0001771
0.350	-0.0078688	-3.2389186	-0.5947083	0.0001789
0.355	-0.0080714	-3.2780119	-0.6110006	0.0001807
0.360	-0.0083198	-3.3182112	-0.6274912	0.0001826
0.365	-0.0084700	-3.3593879	-0.6441852	0.0001846
0.370	-0.0084826	-3.4009641	-0.6610861	0.0001867
0.375	-0.0084559	-3.4425057	-0.6781947	0.0001887
0.380	-0.0083851	-3.4838083	-0.6955105	0.0001907
0.385	-0.0081598	-3.5243848	-0.7130310	0.0001927
0.390	-0.0078028	-3.5635331	-0.7307508	0.0001945
0.395	-0.0074480	-3.6009357	-0.7486620	0.0001962
0.400	-0.0072253	-3.6369219	-0.7667566	0.0001977
0.405	-0.0071509	-3.6721794	-0.7850294	0.0001992
0.410	-0.0071190	-3.7071763	-0.8034777	0.0002006
0.415	-0.0070578	-3.7419450	-0.8221005	0.0002021
0.420	-0.0070004	-3.7764229	-0.8408965	0.0002035
0.425	-0.0070783	-3.8109510	-0.8598649	0.0002049
0.430	-0.0073776	-3.8464042	-0.8790083	0.0002064
0.435	-0.0077801	-3.8835785	-0.8983332	0.0002080
0.440	-0.0079723	-3.9222113	-0.9178477	0.0002098
0.445	-0.0077388	-3.9607427	-0.9375551	0.0002115
0.450	-0.0073017	-3.9976296	-0.9574510	0.0002131
0.455	-0.0067821	-4.0321702	-0.9775255	0.0002146
0.460	-0.0060564	-4.0636568	-0.9977651	0.0002157
0.465	-0.0053242	-4.0915678	-1.0181532	0.0002167
0.470	-0.0049764	-4.1168300	-1.0386742	0.0002174
0.475	-0.0049156	-4.1410903	-1.0593190	0.0002181
0.480	-0.0048848	-4.1651260	-1.0800845	0.0002188
0.485	-0.0048070	-4.1888952	-1.1009696	0.0002195
0.490	-0.0046660	-4.2121278	-1.1219721	0.0002201
0.495	-0.0045473	-4.2347233	-1.1430892	0.0002207
0.500	-0.0047794	-4.2575969	-1.1643200	0.0002213
0.505	-0.0054415	-4.2826635	-1.1856707	0.0002221
0.510	-0.0059366	-4.3105683	-1.2071538	0.0002230
0.515	-0.0061006	-4.3400897	-1.2287804	0.0002240
0.520	-0.0063686	-4.3706705	-1.2505573	0.0002252
0.525	-0.0065634	-4.4023863	-1.2724900	0.0002263
0.530	-0.0062573	-4.4338290	-1.2945805	0.0002275
0.535	-0.0058433	-4.4635057	-1.3168238	0.0002286
0.540	-0.0056345	-4.4916550	-1.3392117	0.0002295
