 
PGA:,  0.06 g
PGV:,  8.32 cm/s
PGD:,  1.65 cm
Arias Intensity:,   8.16 cm/s
Significant duration:,  14.23 s
Bracketed  duration:,   1.53 s
 
 
Damping ratio for spectra:  0.05

 
period [s]	SD. [cm]	PSV [cm/s]	PSA [g]
0.0010	, 0.000	, 0.010	, 0.064
0.1010	, 0.021	, 1.278	, 0.081
0.2010	, 0.167	, 5.207	, 0.166
0.3010	, 0.417	, 8.713	, 0.185
0.4010	, 0.687	, 10.758	, 0.172
0.5010	, 0.986	, 12.361	, 0.158
0.6010	, 1.556	, 16.272	, 0.173
0.7010	, 1.727	, 15.483	, 0.141
0.8010	, 2.083	, 16.336	, 0.131
0.9010	, 2.125	, 14.818	, 0.105
1.0010	, 2.401	, 15.073	, 0.096
1.1010	, 2.227	, 12.708	, 0.074
1.2010	, 1.826	, 9.551	, 0.051
1.3010	, 1.561	, 7.540	, 0.037
1.4010	, 1.629	, 7.307	, 0.033
1.5010	, 2.012	, 8.421	, 0.036
1.6010	, 3.058	, 12.000	, 0.048
1.7010	, 3.984	, 14.715	, 0.055
1.8010	, 4.812	, 16.789	, 0.060
1.9010	, 4.966	, 16.414	, 0.055
2.0010	, 4.963	, 15.584	, 0.050
2.1010	, 4.393	, 13.139	, 0.040
2.2010	, 4.080	, 11.646	, 0.034
2.3010	, 4.604	, 12.571	, 0.035
2.4010	, 5.313	, 13.903	, 0.037
2.5010	, 5.631	, 14.147	, 0.036
2.6010	, 5.407	, 13.061	, 0.032
2.7010	, 5.037	, 11.717	, 0.028
2.8010	, 4.745	, 10.644	, 0.024
2.9010	, 4.251	, 9.207	, 0.020
3.0010	, 4.146	, 8.680	, 0.019
3.1010	, 4.237	, 8.584	, 0.018
3.2010	, 4.228	, 8.299	, 0.017
3.3010	, 4.128	, 7.857	, 0.015
3.4010	, 3.953	, 7.303	, 0.014
3.5010	, 3.731	, 6.695	, 0.012
3.6010	, 3.491	, 6.090	, 0.011
3.7010	, 3.264	, 5.541	, 0.010
3.8010	, 3.076	, 5.085	, 0.009
3.9010	, 2.946	, 4.745	, 0.008
4.0010	, 2.881	, 4.524	, 0.007
4.1010	, 2.879	, 4.412	, 0.007
4.2010	, 2.932	, 4.385	, 0.007
4.3010	, 3.024	, 4.418	, 0.007
4.4010	, 3.140	, 4.483	, 0.007
4.5010	, 3.263	, 4.555	, 0.006
4.6010	, 3.378	, 4.614	, 0.006
4.7010	, 3.475	, 4.644	, 0.006
4.8010	, 3.544	, 4.638	, 0.006
4.9010	, 3.579	, 4.589	, 0.006
5.0010	, 3.578	, 4.495	, 0.006
