 
PGA:,  0.23 g
PGV:,  36.98 cm/s
PGD:,  13.12 cm
Arias Intensity:,  118.37 cm/s
Significant duration:,  15.02 s
Bracketed  duration:,  18.44 s
 
 
Damping ratio for spectra:  0.05

 
period [s]	SD. [cm]	PSV [cm/s]	PSA [g]
0.0010	, 0.000	, 0.035	, 0.227
0.1010	, 0.100	, 6.195	, 0.393
0.2010	, 0.693	, 21.676	, 0.691
0.3010	, 1.401	, 29.246	, 0.622
0.4010	, 3.158	, 49.477	, 0.790
0.5010	, 3.862	, 48.435	, 0.619
0.6010	, 5.155	, 53.897	, 0.574
0.7010	, 4.845	, 43.431	, 0.397
0.8010	, 4.986	, 39.112	, 0.313
0.9010	, 5.256	, 36.653	, 0.261
1.0010	, 6.144	, 38.564	, 0.247
1.1010	, 7.400	, 42.228	, 0.246
1.2010	, 10.703	, 55.997	, 0.299
1.3010	, 13.334	, 64.399	, 0.317
1.4010	, 15.177	, 68.066	, 0.311
1.5010	, 17.359	, 72.664	, 0.310
1.6010	, 18.087	, 70.984	, 0.284
1.7010	, 19.416	, 71.718	, 0.270
1.8010	, 21.979	, 76.678	, 0.273
1.9010	, 21.245	, 70.218	, 0.237
2.0010	, 21.846	, 68.598	, 0.220
2.1010	, 22.188	, 66.354	, 0.202
2.2010	, 22.300	, 63.661	, 0.185
2.3010	, 22.240	, 60.728	, 0.169
2.4010	, 22.071	, 57.757	, 0.154
2.5010	, 26.948	, 67.700	, 0.173
2.6010	, 31.853	, 76.947	, 0.189
2.7010	, 36.250	, 84.326	, 0.200
2.8010	, 39.497	, 88.599	, 0.203
2.9010	, 42.147	, 91.285	, 0.202
3.0010	, 43.070	, 90.176	, 0.192
3.1010	, 42.294	, 85.695	, 0.177
3.2010	, 40.126	, 78.762	, 0.158
3.3010	, 37.884	, 72.109	, 0.140
3.4010	, 34.806	, 64.303	, 0.121
3.5010	, 31.255	, 56.092	, 0.103
3.6010	, 29.747	, 51.905	, 0.092
3.7010	, 28.124	, 47.746	, 0.083
3.8010	, 25.990	, 42.963	, 0.072
3.9010	, 23.477	, 37.813	, 0.062
4.0010	, 22.478	, 35.300	, 0.057
4.1010	, 21.355	, 32.719	, 0.051
4.2010	, 21.097	, 31.554	, 0.048
4.3010	, 21.517	, 31.434	, 0.047
4.4010	, 21.901	, 31.267	, 0.046
4.5010	, 22.248	, 31.057	, 0.044
4.6010	, 22.560	, 30.808	, 0.043
4.7010	, 22.837	, 30.523	, 0.042
4.8010	, 23.081	, 30.207	, 0.040
4.9010	, 23.293	, 29.863	, 0.039
5.0010	, 23.476	, 29.495	, 0.038
5.1010	, 23.630	, 29.107	, 0.037
5.2010	, 23.758	, 28.702	, 0.035
5.3010	, 23.861	, 28.283	, 0.034
5.4010	, 23.942	, 27.853	, 0.033
5.5010	, 24.001	, 27.414	, 0.032
5.6010	, 24.331	, 27.295	, 0.031
5.7010	, 25.246	, 27.824	, 0.031
5.8010	, 25.963	, 28.121	, 0.031
5.9010	, 26.486	, 28.202	, 0.031
6.0010	, 26.825	, 28.086	, 0.030
6.1010	, 26.987	, 27.793	, 0.029
6.2010	, 26.985	, 27.342	, 0.028
6.3010	, 26.830	, 26.754	, 0.027
6.4010	, 26.533	, 26.045	, 0.026
6.5010	, 26.234	, 25.355	, 0.025
6.6010	, 25.993	, 24.741	, 0.024
6.7010	, 25.633	, 24.035	, 0.023
6.8010	, 25.166	, 23.250	, 0.022
6.9010	, 24.605	, 22.402	, 0.021
7.0010	, 23.961	, 21.505	, 0.020
7.1010	, 23.247	, 20.570	, 0.019
7.2010	, 23.179	, 20.224	, 0.018
7.3010	, 23.741	, 20.431	, 0.018
7.4010	, 24.244	, 20.583	, 0.018
7.5010	, 24.691	, 20.683	, 0.018
7.6010	, 25.084	, 20.735	, 0.017
7.7010	, 25.426	, 20.744	, 0.017
7.8010	, 25.718	, 20.714	, 0.017
7.9010	, 25.964	, 20.648	, 0.017
8.0010	, 26.167	, 20.549	, 0.016
8.1010	, 26.329	, 20.421	, 0.016
8.2010	, 26.452	, 20.266	, 0.016
8.3010	, 26.541	, 20.089	, 0.016
8.4010	, 26.596	, 19.891	, 0.015
8.5010	, 26.620	, 19.675	, 0.015
8.6010	, 26.616	, 19.444	, 0.014
8.7010	, 26.587	, 19.199	, 0.014
8.8010	, 26.533	, 18.942	, 0.014
8.9010	, 26.458	, 18.676	, 0.013
9.0010	, 26.362	, 18.402	, 0.013
9.1010	, 26.249	, 18.122	, 0.013
9.2010	, 26.119	, 17.836	, 0.012
9.3010	, 25.974	, 17.547	, 0.012
9.4010	, 25.817	, 17.255	, 0.012
9.5010	, 25.647	, 16.961	, 0.011
9.6010	, 25.467	, 16.667	, 0.011
9.7010	, 25.278	, 16.372	, 0.011
9.8010	, 25.081	, 16.079	, 0.011
9.9010	, 24.876	, 15.787	, 0.010
 
acceleration, velocity, displacement and normalized Arias intensity time histories:
 
time [s]	accel. [g]	vel. [cm/s]	displ. [cm]	AI
0.000	-0.0011314	0.0000000	0.0000000	0.0000000
0.002	-0.0011314	-0.0026638	-0.0000032	0.0000000
0.005	-0.0011315	-0.0053277	-0.0000128	0.0000001
0.007	-0.0011315	-0.0079918	-0.0000288	0.0000001
0.010	-0.0011315	-0.0106558	-0.0000511	0.0000002
0.012	-0.0011314	-0.0133197	-0.0000799	0.0000002
0.014	-0.0011314	-0.0159836	-0.0001151	0.0000002
0.017	-0.0011314	-0.0186473	-0.0001566	0.0000003
0.019	-0.0011314	-0.0213110	-0.0002046	0.0000003
0.022	-0.0011313	-0.0239747	-0.0002589	0.0000004
0.024	-0.0011313	-0.0266383	-0.0003197	0.0000004
0.026	-0.0011313	-0.0293019	-0.0003868	0.0000004
0.029	-0.0011314	-0.0319657	-0.0004603	0.0000005
0.031	-0.0011316	-0.0346298	-0.0005402	0.0000005
0.034	-0.0011320	-0.0372945	-0.0006265	0.0000006
0.036	-0.0011324	-0.0399601	-0.0007192	0.0000006
0.038	-0.0011329	-0.0426269	-0.0008184	0.0000006
0.041	-0.0011334	-0.0452948	-0.0009239	0.0000007
0.043	-0.0011338	-0.0479637	-0.0010358	0.0000007
0.046	-0.0011340	-0.0506332	-0.0011541	0.0000008
0.048	-0.0011341	-0.0533032	-0.0012788	0.0000008
0.050	-0.0011340	-0.0559732	-0.0014099	0.0000008
0.053	-0.0011338	-0.0586428	-0.0015475	0.0000009
0.055	-0.0011331	-0.0613113	-0.0016914	0.0000009
0.058	-0.0011323	-0.0639781	-0.0018418	0.0000010
0.060	-0.0011313	-0.0666427	-0.0019985	0.0000010
0.062	-0.0011302	-0.0693049	-0.0021617	0.0000010
0.065	-0.0011288	-0.0719642	-0.0023312	0.0000011
0.067	-0.0011271	-0.0746199	-0.0025071	0.0000011
0.070	-0.0011253	-0.0772714	-0.0026893	0.0000012
0.072	-0.0011235	-0.0799186	-0.0028780	0.0000012
0.074	-0.0011215	-0.0825614	-0.0030729	0.0000012
0.077	-0.0011197	-0.0851997	-0.0032743	0.0000013
0.079	-0.0011181	-0.0878339	-0.0034819	0.0000013
