 
PGA:,  0.35 g
PGV:,  39.92 cm/s
PGD:,  7.83 cm
Arias Intensity:,  95.01 cm/s
Significant duration:,   3.78 s
Bracketed  duration:,   7.47 s
 
 
Damping ratio for spectra:  0.05

 
period [s]	SD. [cm]	PSV [cm/s]	PSA [g]
0.0010	, 0.000	, 0.054	, 0.348
0.1010	, 0.134	, 8.359	, 0.530
0.2010	, 0.795	, 24.842	, 0.792
0.3010	, 2.059	, 42.978	, 0.915
0.4010	, 3.953	, 61.936	, 0.989
0.5010	, 4.039	, 50.660	, 0.648
0.6010	, 8.658	, 90.511	, 0.965
0.7010	, 11.229	, 100.650	, 0.920
0.8010	, 11.581	, 90.843	, 0.726
0.9010	, 11.482	, 80.073	, 0.569
1.0010	, 11.299	, 70.926	, 0.454
1.1010	, 10.643	, 60.737	, 0.353
1.2010	, 9.394	, 49.144	, 0.262
1.3010	, 8.135	, 39.287	, 0.193
1.4010	, 7.308	, 32.773	, 0.150
1.5010	, 6.700	, 28.048	, 0.120
1.6010	, 6.094	, 23.915	, 0.096
1.7010	, 5.655	, 20.890	, 0.079
1.8010	, 5.633	, 19.651	, 0.070
1.9010	, 5.921	, 19.570	, 0.066
2.0010	, 6.290	, 19.751	, 0.063
2.1010	, 6.683	, 19.984	, 0.061
2.2010	, 7.032	, 20.074	, 0.058
2.3010	, 7.499	, 20.478	, 0.057
2.4010	, 7.942	, 20.785	, 0.055
2.5010	, 8.337	, 20.946	, 0.054
2.6010	, 8.673	, 20.951	, 0.052
2.7010	, 8.934	, 20.782	, 0.049
2.8010	, 9.114	, 20.443	, 0.047
2.9010	, 9.212	, 19.951	, 0.044
3.0010	, 9.234	, 19.333	, 0.041
3.1010	, 9.186	, 18.612	, 0.038
3.2010	, 9.077	, 17.818	, 0.036
3.3010	, 9.068	, 17.260	, 0.033
3.4010	, 9.103	, 16.817	, 0.032
3.5010	, 9.080	, 16.296	, 0.030
3.6010	, 9.003	, 15.710	, 0.028
3.7010	, 8.878	, 15.072	, 0.026
3.8010	, 8.866	, 14.655	, 0.025
3.9010	, 9.124	, 14.696	, 0.024
4.0010	, 9.366	, 14.708	, 0.024
4.1010	, 9.591	, 14.695	, 0.023
4.2010	, 9.802	, 14.660	, 0.022
4.3010	, 9.997	, 14.605	, 0.022
4.4010	, 10.177	, 14.530	, 0.021
4.5010	, 10.342	, 14.437	, 0.021
4.6010	, 10.495	, 14.332	, 0.020
4.7010	, 10.633	, 14.212	, 0.019
4.8010	, 10.759	, 14.081	, 0.019
4.9010	, 10.873	, 13.939	, 0.018
5.0010	, 10.975	, 13.789	, 0.018
5.1010	, 11.067	, 13.632	, 0.017
5.2010	, 11.149	, 13.469	, 0.017
5.3010	, 11.221	, 13.300	, 0.016
5.4010	, 11.284	, 13.127	, 0.016
5.5010	, 11.339	, 12.951	, 0.015
5.6010	, 11.387	, 12.774	, 0.015
5.7010	, 11.427	, 12.594	, 0.014
5.8010	, 11.461	, 12.414	, 0.014
5.9010	, 11.488	, 12.232	, 0.013
6.0010	, 11.510	, 12.051	, 0.013
6.1010	, 11.526	, 11.870	, 0.012
