 
PGA:,  0.33 g
PGV:,  30.73 cm/s
PGD:,  6.16 cm
Arias Intensity:,  200.91 cm/s
Significant duration:,   8.23 s
Bracketed  duration:,  13.12 s
 
 
Damping ratio for spectra:  0.05

 
period [s]	SD. [cm]	PSV [cm/s]	PSA [g]
0.0010	, 0.000	, 0.051	, 0.329
0.1010	, 0.201	, 12.511	, 0.793
0.2010	, 1.090	, 34.060	, 1.085
0.3010	, 3.002	, 62.655	, 1.333
0.4010	, 5.554	, 87.029	, 1.390
0.5010	, 6.518	, 81.743	, 1.045
0.6010	, 6.197	, 64.785	, 0.690
0.7010	, 5.635	, 50.503	, 0.461
0.8010	, 6.852	, 53.750	, 0.430
0.9010	, 8.223	, 57.341	, 0.408
1.0010	, 7.399	, 46.441	, 0.297
1.1010	, 8.467	, 48.319	, 0.281
1.2010	, 5.994	, 31.357	, 0.167
1.3010	, 5.648	, 27.276	, 0.134
1.4010	, 8.346	, 37.430	, 0.171
1.5010	, 11.821	, 49.483	, 0.211
1.6010	, 13.408	, 52.619	, 0.211
1.7010	, 13.673	, 50.507	, 0.190
1.8010	, 14.266	, 49.772	, 0.177
1.9010	, 13.771	, 45.516	, 0.153
2.0010	, 14.142	, 44.406	, 0.142
2.1010	, 13.343	, 39.903	, 0.122
2.2010	, 11.683	, 33.353	, 0.097
2.3010	, 10.043	, 27.425	, 0.076
2.4010	, 9.074	, 23.746	, 0.063
2.5010	, 9.011	, 22.638	, 0.058
2.6010	, 9.678	, 23.380	, 0.058
2.7010	, 10.702	, 24.896	, 0.059
2.8010	, 11.727	, 26.307	, 0.060
2.9010	, 12.501	, 27.075	, 0.060
3.0010	, 12.891	, 26.989	, 0.058
3.1010	, 12.855	, 26.047	, 0.054
3.2010	, 13.405	, 26.313	, 0.053
3.3010	, 14.397	, 27.403	, 0.053
3.4010	, 15.121	, 27.936	, 0.053
3.5010	, 15.574	, 27.950	, 0.051
3.6010	, 15.767	, 27.510	, 0.049
3.7010	, 16.287	, 27.651	, 0.048
3.8010	, 16.767	, 27.716	, 0.047
3.9010	, 17.058	, 27.475	, 0.045
4.0010	, 17.195	, 27.003	, 0.043
4.1010	, 17.182	, 26.325	, 0.041
4.2010	, 17.028	, 25.468	, 0.039
4.3010	, 16.740	, 24.456	, 0.036
4.4010	, 16.340	, 23.329	, 0.034
4.5010	, 15.868	, 22.151	, 0.032
4.6010	, 15.335	, 20.942	, 0.029
4.7010	, 14.735	, 19.694	, 0.027
4.8010	, 14.510	, 18.989	, 0.025
4.9010	, 14.445	, 18.519	, 0.024
5.0010	, 14.443	, 18.146	, 0.023
5.1010	, 14.548	, 17.920	, 0.023
5.2010	, 14.611	, 17.651	, 0.022
5.3010	, 14.636	, 17.348	, 0.021
5.4010	, 14.629	, 17.018	, 0.020
5.5010	, 14.590	, 16.665	, 0.019
5.6010	, 14.528	, 16.297	, 0.019
5.7010	, 14.441	, 15.916	, 0.018
5.8010	, 14.337	, 15.528	, 0.017
5.9010	, 14.214	, 15.135	, 0.016
6.0010	, 14.079	, 14.741	, 0.016
6.1010	, 13.932	, 14.348	, 0.015
6.2010	, 13.774	, 13.956	, 0.014
6.3010	, 13.609	, 13.571	, 0.014
6.4010	, 13.439	, 13.191	, 0.013
6.5010	, 13.263	, 12.818	, 0.013
6.6010	, 13.083	, 12.453	, 0.012
6.7010	, 12.902	, 12.098	, 0.012
6.8010	, 12.720	, 11.751	, 0.011
6.9010	, 12.537	, 11.415	, 0.011
7.0010	, 12.354	, 11.088	, 0.010
7.1010	, 12.173	, 10.771	, 0.010
7.2010	, 11.993	, 10.464	, 0.009
7.3010	, 11.815	, 10.168	, 0.009
7.4010	, 11.641	, 9.882	, 0.009
7.5010	, 11.469	, 9.607	, 0.008
7.6010	, 11.300	, 9.341	, 0.008
7.7010	, 11.134	, 9.084	, 0.008
7.8010	, 10.972	, 8.838	, 0.007
7.9010	, 10.814	, 8.600	, 0.007
8.0010	, 10.660	, 8.371	, 0.007
8.1010	, 10.510	, 8.151	, 0.006
8.2010	, 10.363	, 7.940	, 0.006
8.3010	, 10.221	, 7.736	, 0.006
8.4010	, 10.082	, 7.541	, 0.006
8.5010	, 9.948	, 7.353	, 0.006
8.6010	, 9.817	, 7.172	, 0.005
8.7010	, 9.691	, 6.998	, 0.005
8.8010	, 9.568	, 6.831	, 0.005
8.9010	, 9.450	, 6.670	, 0.005
9.0010	, 9.334	, 6.516	, 0.005
9.1010	, 9.223	, 6.368	, 0.004
9.2010	, 9.115	, 6.225	, 0.004
9.3010	, 9.011	, 6.087	, 0.004
9.4010	, 8.911	, 5.955	, 0.004
9.5010	, 8.813	, 5.828	, 0.004
9.6010	, 8.719	, 5.706	, 0.004
9.7010	, 8.628	, 5.588	, 0.004
9.8010	, 8.540	, 5.475	, 0.004
9.9010	, 8.455	, 5.366	, 0.003
 
acceleration, velocity, displacement and normalized Arias intensity time histories:
 
time [s]	accel. [g]	vel. [cm/s]	displ. [cm]	AI
0.000	0.0003874	0.0000000	0.0000000	0.0000000
0.005	0.0003871	0.0018994	0.0000047	0.0000000
0.010	0.0003862	0.0037960	0.0000190	0.0000000
0.015	0.0003848	0.0056869	0.0000427	0.0000000
0.020	0.0003829	0.0075696	0.0000758	0.0000000
0.025	0.0003811	0.0094433	0.0001184	0.0000000
0.030	0.0003797	0.0113090	0.0001702	0.0000000
0.035	0.0003793	0.0131704	0.0002314	0.0000000
0.040	0.0003803	0.0150335	0.0003020	0.0000000
0.045	0.0003832	0.0169061	0.0003818	0.0000001
0.050	0.0003882	0.0187979	0.0004711	0.0000001
0.055	0.0003957	0.0207205	0.0005699	0.0000001
0.060	0.0004062	0.0226873	0.0006784	0.0000001
0.065	0.0004190	0.0247111	0.0007969	0.0000001
0.070	0.0004333	0.0268013	0.0009257	0.0000001
0.075	0.0004485	0.0289639	0.0010651	0.0000001
0.080	0.0004634	0.0312004	0.0012155	0.0000001
0.085	0.0004756	0.0335034	0.0013772	0.0000001
0.090	0.0004833	0.0358553	0.0015506	0.0000001
0.095	0.0004859	0.0382322	0.0017359	0.0000001
0.100	0.0004831	0.0406086	0.0019330	0.0000001
0.105	0.0004762	0.0429613	0.0021419	0.0000001
0.110	0.0004666	0.0452733	0.0023625	0.0000001
0.115	0.0004551	0.0475337	0.0025945	0.0000002
0.120	0.0004418	0.0497332	0.0028377	0.0000002
0.125	0.0004278	0.0518658	0.0030917	0.0000002
0.130	0.0004140	0.0539301	0.0033561	0.0000002
0.135	0.0004022	0.0559317	0.0036308	0.0000002
0.140	0.0003953	0.0578875	0.0039153	0.0000002
0.145	0.0003968	0.0598300	0.0042096	0.0000002
0.150	0.0004087	0.0618054	0.0045137	0.0000002
0.155	0.0004312	0.0638653	0.0048279	0.0000002
0.160	0.0004620	0.0660561	0.0051527	0.0000002
0.165	0.0004994	0.0684140	0.0054889	0.0000002
0.170	0.0005421	0.0709682	0.0058373	0.0000002
0.175	0.0005838	0.0737295	0.0061991	0.0000003
0.180	0.0006161	0.0766723	0.0065751	0.0000003
0.185	0.0006296	0.0797273	0.0069661	0.0000003
0.190	0.0006147	0.0827789	0.0073724	0.0000003
0.195	0.0005652	0.0856726	0.0077935	0.0000003
0.200	0.0004805	0.0882373	0.0082283	0.0000003
0.205	0.0003628	0.0903056	0.0086746	0.0000003
0.210	0.0002210	0.0917375	0.0091297	0.0000003
0.215	0.0000766	0.0924675	0.0095902	0.0000003
0.220	-0.0000432	0.0925496	0.0100528	0.0000003
0.225	-0.0001145	0.0921630	0.0105146	0.0000003
0.230	-0.0001271	0.0915705	0.0109739	0.0000003
0.235	-0.0000747	0.0910756	0.0114305	0.0000003
0.240	0.0000404	0.0909916	0.0118857	0.0000003
0.245	0.0001998	0.0915807	0.0123421	0.0000003
0.250	0.0003848	0.0930145	0.0128036	0.0000003
0.255	0.0005775	0.0953745	0.0132746	0.0000003
0.260	0.0007569	0.0986472	0.0137596	0.0000004
0.265	0.0009132	0.1027432	0.0142631	0.0000004
0.270	0.0010482	0.1075535	0.0147888	0.0000004
0.275	0.0011399	0.1129197	0.0153400	0.0000005
0.280	0.0011822	0.1186148	0.0159189	0.0000005
0.285	0.0011757	0.1243976	0.0165264	0.0000006
0.290	0.0011253	0.1300409	0.0171625	0.0000006
0.295	0.0010488	0.1353730	0.0178260	0.0000007
0.300	0.0009639	0.1403091	0.0185152	0.0000007
0.305	0.0008856	0.1448451	0.0192281	0.0000007
0.310	0.0008246	0.1490393	0.0199628	0.0000008
0.315	0.0007895	0.1529977	0.0207179	0.0000008
0.320	0.0007889	0.1568687	0.0214926	0.0000008
0.325	0.0008310	0.1608413	0.0222869	0.0000008
0.330	0.0009195	0.1651343	0.0231018	0.0000009
0.335	0.0010409	0.1699423	0.0239395	0.0000009
0.340	0.0011812	0.1753920	0.0248028	0.0000010
0.345	0.0013158	0.1815157	0.0256951	0.0000010
0.350	0.0013993	0.1881746	0.0266193	0.0000011
0.355	0.0014052	0.1950527	0.0275774	0.0000012
0.360	0.0013145	0.2017227	0.0285693	0.0000012
0.365	0.0011120	0.2076737	0.0295928	0.0000013
0.370	0.0007939	0.2123481	0.0306429	0.0000013
0.375	0.0003733	0.2152107	0.0317118	0.0000013
0.380	-0.0001147	0.2158447	0.0327894	0.0000013
0.385	-0.0005819	0.2141363	0.0338644	0.0000014
0.390	-0.0009842	0.2102954	0.0349254	0.0000014
0.395	-0.0013191	0.2046465	0.0359628	0.0000014
0.400	-0.0015743	0.1975506	0.0369683	0.0000015
0.405	-0.0017090	0.1894984	0.0379359	0.0000016
0.410	-0.0017060	0.1811230	0.0388625	0.0000017
0.415	-0.0015593	0.1731148	0.0397481	0.0000018
0.420	-0.0012931	0.1661193	0.0405961	0.0000019
0.425	-0.0009619	0.1605889	0.0414129	0.0000020
0.430	-0.0006321	0.1566795	0.0422061	0.0000020
0.435	-0.0003624	0.1542405	0.0429834	0.0000020
0.440	-0.0001319	0.1530283	0.0437516	0.0000020
0.445	0.0000862	0.1529163	0.0445164	0.0000020
0.450	0.0003215	0.1539162	0.0452835	0.0000020
0.455	0.0005942	0.1561619	0.0460587	0.0000020
0.460	0.0008749	0.1597649	0.0468485	0.0000020
0.465	0.0011340	0.1646917	0.0476596	0.0000021
0.470	0.0013495	0.1707825	0.0484983	0.0000021
0.475	0.0015202	0.1778203	0.0493698	0.0000022
0.480	0.0016517	0.1855993	0.0502784	0.0000023
0.485	0.0017289	0.1938902	0.0512271	0.0000024
0.490	0.0017264	0.2023643	0.0522178	0.0000025
0.495	0.0016560	0.2106597	0.0532503	0.0000026
0.500	0.0015672	0.2185646	0.0543234	0.0000027
0.505	0.0015250	0.2261483	0.0554352	0.0000028
0.510	0.0015736	0.2337476	0.0565849	0.0000029
0.515	0.0017131	0.2418081	0.0577738	0.0000030
0.520	0.0019463	0.2507827	0.0590053	0.0000032
0.525	0.0022461	0.2610647	0.0602849	0.0000033
