 
PGA:,  0.62 g
PGV:,  97.36 cm/s
PGD:,  23.44 cm
Arias Intensity:,  526.17 cm/s
Significant duration:,   6.24 s
Bracketed  duration:,  19.18 s
 
 
Damping ratio for spectra:  0.05

 
period [s]	SD. [cm]	PSV [cm/s]	PSA [g]
0.0010	, 0.000	, 0.096	, 0.617
0.1010	, 0.177	, 11.006	, 0.698
0.2010	, 0.837	, 26.153	, 0.833
0.3010	, 2.506	, 52.305	, 1.113
0.4010	, 5.160	, 80.854	, 1.291
0.5010	, 8.536	, 107.049	, 1.369
0.6010	, 11.183	, 116.916	, 1.246
0.7010	, 17.603	, 157.783	, 1.442
0.8010	, 23.829	, 186.921	, 1.495
0.9010	, 33.225	, 231.699	, 1.647
1.0010	, 43.852	, 275.256	, 1.761
1.1010	, 54.803	, 312.751	, 1.819
1.2010	, 50.321	, 263.260	, 1.404
1.3010	, 44.538	, 215.096	, 1.059
1.4010	, 45.129	, 202.395	, 0.925
1.5010	, 52.233	, 218.646	, 0.933
1.6010	, 60.817	, 238.680	, 0.955
1.7010	, 67.258	, 248.441	, 0.935
1.8010	, 70.117	, 244.618	, 0.870
1.9010	, 69.403	, 229.391	, 0.773
2.0010	, 67.348	, 211.475	, 0.677
2.1010	, 69.652	, 208.299	, 0.635
2.2010	, 70.107	, 200.135	, 0.582
2.3010	, 69.001	, 188.417	, 0.524
2.4010	, 66.662	, 174.447	, 0.465
2.5010	, 63.408	, 159.297	, 0.408
2.6010	, 59.542	, 143.835	, 0.354
2.7010	, 55.339	, 128.733	, 0.305
2.8010	, 51.014	, 114.433	, 0.262
2.9010	, 46.736	, 101.225	, 0.223
3.0010	, 44.440	, 93.043	, 0.199
3.1010	, 43.829	, 88.806	, 0.183
3.2010	, 43.113	, 84.626	, 0.169
3.3010	, 42.322	, 80.556	, 0.156
3.4010	, 41.478	, 76.628	, 0.144
3.5010	, 40.599	, 72.863	, 0.133
3.6010	, 39.702	, 69.273	, 0.123
3.7010	, 38.798	, 65.868	, 0.114
3.8010	, 37.898	, 62.646	, 0.106
3.9010	, 37.011	, 59.612	, 0.098
4.0010	, 36.141	, 56.756	, 0.091
4.1010	, 35.296	, 54.077	, 0.084
4.2010	, 34.478	, 51.566	, 0.079
4.3010	, 33.688	, 49.214	, 0.073
4.4010	, 32.931	, 47.014	, 0.068
4.5010	, 32.205	, 44.957	, 0.064
4.6010	, 31.513	, 43.035	, 0.060
4.7010	, 30.853	, 41.238	, 0.056
4.8010	, 30.226	, 39.557	, 0.053
4.9010	, 29.631	, 37.987	, 0.050
5.0010	, 29.066	, 36.518	, 0.047
5.1010	, 28.531	, 35.143	, 0.044
5.2010	, 28.024	, 33.855	, 0.042
