,mainshock_aferchock_horizontal1,horizontal_1_filename,dt_sequence_horizontal1,npt_sequence_horizontal1,dt_mainshock_horizontal1,npt_mainshock_horizontal1,dt_aftershock_horizontal1,npt_aftershock_horizontal1,rsn_mainshock_horizontal1,rsn_aftershock_horizontal1,mainshock_aferchock_horizontal2,horizontal_2_filename,dt_sequence_horizontal2,npt_sequence_horizontal2,dt_mainshock_horizontal2,npt_mainshock_horizontal2,dt_aftershock_horizontal2,npt_aftershock_horizontal2,rsn_mainshock_horizontal2,rsn_aftershock_horizontal2
0,Q:\My Drive\PhD Program\Research\Thesis\Analysis Methods\Groundmotions\Sequences\95.0_96.0_01.g3,95.0_96.0_01.g3,0.005,19516,0.005,9139,0.005,9577,95.0,96.0,Q:\My Drive\PhD Program\Research\Thesis\Analysis Methods\Groundmotions\Sequences\95.0_96.0_02.g3,95.0_96.0_02.g3,0.005,19516,0.005,9138,0.005,9578,95.0,96.0
1,Q:\My Drive\PhD Program\Research\Thesis\Analysis Methods\Groundmotions\Sequences\210.0_217.0_01.g3,210.0_217.0_01.g3,0.005,13198,0.005,7999,0.005,4399,210.0,217.0,Q:\My Drive\PhD Program\Research\Thesis\Analysis Methods\Groundmotions\Sequences\210.0_217.0_02.g3,210.0_217.0_02.g3,0.005,13198,0.005,7999,0.005,4399,210.0,217.0
2,Q:\My Drive\PhD Program\Research\Thesis\Analysis Methods\Groundmotions\Sequences\212.0_219.0_01.g3,212.0_219.0_01.g3,0.005,11092,0.005,6201,0.005,4091,212.0,219.0,Q:\My Drive\PhD Program\Research\Thesis\Analysis Methods\Groundmotions\Sequences\212.0_219.0_02.g3,212.0_219.0_02.g3,0.005,11092,0.005,6201,0.005,4091,212.0,219.0
3,Q:\My Drive\PhD Program\Research\Thesis\Analysis Methods\Groundmotions\Sequences\214.0_223.0_01.g3,214.0_223.0_01.g3,0.005,9333,0.005,4196,0.005,4337,214.0,223.0,Q:\My Drive\PhD Program\Research\Thesis\Analysis Methods\Groundmotions\Sequences\214.0_223.0_02.g3,214.0_223.0_02.g3,0.005,9333,0.005,4196,0.005,4337,214.0,223.0
4,Q:\My Drive\PhD Program\Research\Thesis\Analysis Methods\Groundmotions\Sequences\215.0_224.0_01.g3,215.0_224.0_01.g3,0.005,16797,0.005,7998,0.005,7999,215.0,224.0,Q:\My Drive\PhD Program\Research\Thesis\Analysis Methods\Groundmotions\Sequences\215.0_224.0_02.g3,215.0_224.0_02.g3,0.005,16797,0.005,7999,0.005,7998,215.0,224.0
5,Q:\My Drive\PhD Program\Research\Thesis\Analysis Methods\Groundmotions\Sequences\230.0_233.0_01.g3,230.0_233.0_01.g3,0.005,12798,0.005,5999,0.005,5999,230.0,233.0,Q:\My Drive\PhD Program\Research\Thesis\Analysis Methods\Groundmotions\Sequences\230.0_233.0_02.g3,230.0_233.0_02.g3,0.005,12798,0.005,5999,0.005,5999,230.0,233.0
6,Q:\My Drive\PhD Program\Research\Thesis\Analysis Methods\Groundmotions\Sequences\230.0_551.0_01.g3,230.0_551.0_01.g3,0.005,14798,0.005,5999,0.005,7999,230.0,551.0,Q:\My Drive\PhD Program\Research\Thesis\Analysis Methods\Groundmotions\Sequences\230.0_551.0_02.g3,230.0_551.0_02.g3,0.005,14798,0.005,5999,0.005,7999,230.0,551.0
7,Q:\My Drive\PhD Program\Research\Thesis\Analysis Methods\Groundmotions\Sequences\230.0_236.0_01.g3,230.0_236.0_01.g3,0.005,14799,0.005,5999,0.005,8000,230.0,236.0,Q:\My Drive\PhD Program\Research\Thesis\Analysis Methods\Groundmotions\Sequences\230.0_236.0_02.g3,230.0_236.0_02.g3,0.005,14799,0.005,5999,0.005,8000,230.0,236.0
8,Q:\My Drive\PhD Program\Research\Thesis\Analysis Methods\Groundmotions\Sequences\230.0_240.0_01.g3,230.0_240.0_01.g3,0.005,14799,0.005,5999,0.005,8000,230.0,240.0,Q:\My Drive\PhD Program\Research\Thesis\Analysis Methods\Groundmotions\Sequences\230.0_240.0_02.g3,230.0_240.0_02.g3,0.005,14799,0.005,5999,0.005,8000,230.0,240.0
9,Q:\My Drive\PhD Program\Research\Thesis\Analysis Methods\Groundmotions\Sequences\230.0_244.0_01.g3,230.0_244.0_01.g3,0.005,12798,0.005,5999,0.005,5999,230.0,244.0,Q:\My Drive\PhD Program\Research\Thesis\Analysis Methods\Groundmotions\Sequences\230.0_244.0_02.g3,230.0_244.0_02.g3,0.005,12798,0.005,5999,0.005,5999,230.0,244.0
